"","PWSID","PWS_Name","County","Pop","ServConn","Water System Ownership","log10PopCat"
"75","CA4700541","CHATEAU SHASTA MOBILE HOME & RV PARK","SISKIYOU",55,"63","Privately owned, non-PUC-regulated (Community Water System)",1
"76","CA4700546","CAL ORE MOBILE ESTATES","SISKIYOU",146,"52","Privately owned, non-PUC-regulated (Community Water System)",2
"77","CA4700626","COVE MOBILE VILLA","SISKIYOU",105,"46","Privately owned, non-PUC-regulated (Community Water System)",2
"78","CA4700630","SHASTA VIEW HEIGHTS OWNERS ASSOCIATION","SISKIYOU",50,"24","Privately owned Mutual Water Company or Association",1
"79","CA4700686","SUN MOUNTAIN M.W.C.","SISKIYOU",55,"31","Privately owned Mutual Water Company or Association",1
"80","CA4700880","SISKIYOU LAKE HIGHLANDS MWC","SISKIYOU",100,"78","Privately owned Mutual Water Company or Association",2
"81","CA4710003","FORT JONES, TOWN OF","SISKIYOU",675,"366","Local Government",2
"82","CA4710006","MCCLOUD C.S.D.","SISKIYOU",1300,"728","Privately owned, non-PUC-regulated (Community Water System)",3
"83","CA4710007","MONTAGUE, CITY OF","SISKIYOU",1495,"503","Local Government",3
"84","CA4710008","MT. SHASTA, CITY OF","SISKIYOU",3642,"1841","Local Government",3
"85","CA4710009","WEED, CITY OF","SISKIYOU",2963,"1110","Local Government",3
"86","CA4710011","YREKA, CITY OF","SISKIYOU",7290,"2993","Local Government",3
"87","CA5301001","BUCKTAIL MUTUAL WATER COMPANY","TRINITY",61,"42","Privately owned Mutual Water Company or Association",1
"88","CA5301002","LEWISTON COMMUNITY SERVICES DISTRICT","TRINITY",701,"219","Local Government",2
"89","CA5301102","TRINITY KNOLLS MUTUAL WATER COMPANY","TRINITY",44,"65","Privately owned Mutual Water Company or Association",1
"90","CA5301103","COVINGTON MILL - A","TRINITY",58,"42","Privately owned Mutual Water Company or Association",1
"91","CA5301104","COVINGTON MILL MWC-DIVISION B","TRINITY",99,"99","Privately owned Mutual Water Company or Association",1
"92","CA5304102","TRINITY VILLAGE MUTUAL WATER","TRINITY",302,"193","Privately owned Mutual Water Company or Association",2
"93","CA5304502","SALYER HEIGHTS W.S., INC","TRINITY",135,"42","Privately owned, PUC-regulated, for profit water company",2
"94","CA5310002","TRINITY CO. W.W. DIST #1","TRINITY",1775,"580","Local Government",3
"95","CA5310003","TRINITY CENTER M.W.C.          .","TRINITY",729,"252","Privately owned, non-PUC-regulated (Community Water System)",2
"96","CA1800511","LAKE FOREST MUTUAL W.C.","LASSEN",565,"220","Privately owned Mutual Water Company or Association",2
"97","CA1800516","LITTLE VALLEY CSD","LASSEN",70,"44","Local Government",1
"98","CA1800523","PINEVIEW MOBILE HOME PARK","LASSEN",113,"52","Privately owned, non-PUC-regulated (Community Water System)",2
"99","CA4700803","SHADOW MOUNTAIN MHP","SISKIYOU",100,"71","Privately owned, non-PUC-regulated (Community Water System)",2
"100","CA4700872","MONTE SHASTA M.W.C.","SISKIYOU",150,"45","Privately owned Mutual Water Company or Association",2
"101","CA4710001","DORRIS, CITY OF","SISKIYOU",887,"420","Local Government",2
"102","CA4710002","DUNSMUIR, CITY OF","SISKIYOU",1923,"1187","Local Government",3
"103","CA4710004","ETNA, CITY OF","SISKIYOU",720,"410","Local Government",2
"104","CA4710010","TULELAKE, CITY OF","SISKIYOU",1000,"437","Local Government",3
"105","CA4710012","HAPPY CAMP C.S.D.","SISKIYOU",1100,"453","Local Government",3
"106","CA4710013","LAKE SHASTINA C.S.D","SISKIYOU",2400,"1272","Privately owned Mutual Water Company or Association",3
"107","CA5301008","PINE COVE RV PARK","TRINITY",223,"61","Privately owned, non-PUC-regulated (Community Water System)",2
"108","CA5301010","BUD FINE MWC","TRINITY",43,"39","Privately owned Mutual Water Company or Association",1
"109","CA5301017","RUSH CREEK MUTUAL WATER SYSTEM","TRINITY",104,"37","Privately owned Mutual Water Company or Association",2
"110","CA5301101","TREASURE CREEK WOODS MWC","TRINITY",131,"32","Privately owned Mutual Water Company or Association",2
"111","CA5301201","SEYMOUR'S MUTUAL WATER SYSTEM","TRINITY",29,"27","Privately owned Mutual Water Company or Association",1
"112","CA5303002","INDIAN CREEK TRAILER PARK","TRINITY",36,"35","Privately owned, non-PUC-regulated (Community Water System)",1
"113","CA5304109","BURNT RANCH ESTATES","TRINITY",115,"35","Privately owned Mutual Water Company or Association",2
"114","CA5304501","SALYER MUTUAL WC (FORMERLY RIVERVIEW AC)","TRINITY",211,"68","Privately owned Mutual Water Company or Association",2
"115","CA5310001","WEAVERVILLE C.S.D.","TRINITY",3600,"1636","Local Government",3
"116","CA0910012","TAHOE CITY PUD - RUBICON","EL DORADO",703,"621","Local Government",2
"117","CA1800503","SUSAN RIVER PARK WATER CO.","LASSEN",140,"50","Privately owned, PUC-regulated, for profit water company",2
"118","CA1800512","CLEAR CREEK CSD-WESTWOOD","LASSEN",400,"166","Local Government",2
"119","CA1800534","SPAULDING EAGLE LAKE MWC","LASSEN",289,"82","Privately owned Mutual Water Company or Association",2
"120","CA1805007","HERLONG PUBLIC UTILITY DISTRICT","LASSEN",2114,"297","Local Government",3
"121","CA1810002","WESTWOOD C.S.D.","LASSEN",1662,"948","Local Government",3
"122","CA1810004","LEAVITT LAKE CSD","LASSEN",950,"259","Local Government",2
"123","CA3110001","NORTH TAHOE PUD - MAIN","PLACER",5300,"3261","Local Government",3
"124","CA3110004","CITY OF LINCOLN","PLACER",48165,"18756","Local Government",4
"125","CA3110005","PLACER CWA - AUBURN/BOWMAN","PLACER",27902,"8491","Local Government",4
"126","CA3110011","TAHOE CITY PUD - MCKINNEY/QUAIL","PLACER",844,"559","Local Government",2
"127","CA3110012","AGATE BAY WATER COMPANY","PLACER",2500,"582","Privately owned, PUC-regulated, for profit water company",3
"128","CA3110013","TAHOE CEDARS WATER COMPANY","PLACER",793,"1180","Local Government",2
"129","CA3110029","ALPINE SPRINGS COUNTY WATER DISTRICT","PLACER",200,"656","Local Government",2
"130","CA3110031","WARD WELL WATER COMPANY","PLACER",375,"226","Privately owned Mutual Water Company or Association",2
"131","CA3110033","CASTLE CITY MHP","PLACER",280,"201","Privately owned, non-PUC-regulated (Community Water System)",2
"132","CA3110034","CHRISTIAN VALLEY PARK CSD","PLACER",1800,"623","Privately owned, non-PUC-regulated (Community Water System)",3
"133","CA3110035","WEIMAR WATER COMPANY","PLACER",1500,"550","Privately owned, PUC-regulated, for profit water company",3
"134","CA3110036","NORTH TAHOE PUD - DOLLAR COVE","PLACER",800,"273","Local Government",2
"135","CA3110040","PLACER CWA - BIANCHI ESTATES","PLACER",122,"38","Local Government",2
"136","CA3110044","TAHOE CITY PUD - ALPINE PEAKS","PLACER",201,"97","Local Government",2
"137","CA3110047","TALMONT RESORT IMPROVEMENT DISTRICT","PLACER",300,"341","Local Government",2
"138","CA3110048","PLACER CSA - SHERIDAN","PLACER",726,"195","Local Government",2
"139","CA3110049","TAHOE PARK WATER CO - SKYLAND/NIELSEN","PLACER",50,"92","Privately owned, PUC-regulated, for profit water company",1
"140","CA3110124","PLACER CWA - MONTE VISTA","PLACER",56,"18","Local Government",1
"141","CA3210001","IVCSD-GREENVILLE","PLUMAS",1129,"576","Local Government",3
"142","CA3210005","GRAEAGLE WATER COMPANY","PLUMAS",737,"933","Privately owned, PUC-regulated, for profit water company",2
"143","CA3210006","LAKE ALMANOR COUNTRY CLUB MWC","PLUMAS",6000,"1682","Privately owned Mutual Water Company or Association",3
"144","CA3210009","CHESTER PUBLIC U.D.","PLUMAS",2316,"1251","Privately owned, non-PUC-regulated (Community Water System)",3
"145","CA3210011","PLUMAS EUREKA CSD","PLUMAS",1525,"553","Local Government",3
"146","CA4500014","LAKESHORE HEIGHTS MUTUAL WATER","SHASTA",264,"66","Privately owned Mutual Water Company or Association",2
"147","CA4500015","SHASTA CSA - CASTELLA, #3","SHASTA",252,"101","Local Government",2
"148","CA4500022","DEL ORO WATER CO. - HAT CREEK DISTRICT","SHASTA",205,"63","Privately owned, PUC-regulated, for profit water company",2
"149","CA4500023","HAT CREEK HIGHLANDS MUTUAL WATER CO","SHASTA",88,"44","Privately owned Mutual Water Company or Association",1
"150","CA4500028","SHASTA CSA - CRAGVIEW, #23","SHASTA",218,"66","Local Government",2
"151","CA4500210","LASSEN PINES MUTUAL WATER CO INC","SHASTA",600,"194","Privately owned Mutual Water Company or Association",2
"152","CA4510001","CITY OF ANDERSON","SHASTA",11147,"3339","Local Government",4
"153","CA4510006","CITY OF SHASTA LAKE","SHASTA",10386,"3752","Local Government",4
"154","CA4510007","COTTONWOOD COUNTY WATER DIST.","SHASTA",3316,"1226","Local Government",3
"155","CA4510011","CENTERVILLE C.S.D.","SHASTA",4105,"1272","Local Government",3
"156","CA4510013","SHASTA C.S.D.","SHASTA",1584,"480","Local Government",3
"157","CA4510014","BELLA VISTA WATER DISTRICT","SHASTA",19098,"6360","Local Government",4
"158","CA4510016","CLEAR CREEK CSD-ANDERSON","SHASTA",8900,"2357","Privately owned, non-PUC-regulated (Community Water System)",3
"159","CA4600009","SIERRA CSA #5, SIERRA BROOKS","SIERRA",515,"191","Local Government",2
"160","CA4600017","R.R. LEWIS SMALL WC","SIERRA",324,"123","Privately owned, PUC-regulated, for profit water company",2
"161","CA4600018","SIERRAVILLE P.U.D.","SIERRA",200,"111","Local Government",2
"162","CA4600019","SIERRA CO. W.W.D #1 CALPINE","SIERRA",225,"134","Local Government",2
"163","CA4600056","SIERRA CITY WATER WORKS, INC.","SIERRA",250,"89","Privately owned, PUC-regulated, for profit water company",2
"164","CA4610002","DOWNIEVILLE PUBLIC U.D.","SIERRA",282,"230","Local Government",2
"165","CA1700501","ADAMS SPRINGS WATER DISTRICT","LAKE",99,"77","Local Government",1
"166","CA1700508","GLENHAVEN MUTUAL WATER COMPANY","LAKE",300,"125","Privately owned Mutual Water Company or Association",2
"167","CA1700518","LOCH LOMOND MUTUAL WATER CO","LAKE",588,"210","Privately owned, non-PUC-regulated (Community Water System)",2
"168","CA1700519","CRESCENT BAY IMPROVEMENT COMPANY","LAKE",27,"24","Privately owned Mutual Water Company or Association",1
"169","CA1700526","PINE GROVE WATER SYSTEM","LAKE",352,"90","Privately owned, non-PUC-regulated (Community Water System)",2
"170","CA1700530","COBB MOUNTAIN WATER COMPANY","LAKE",63,"62","Privately owned, PUC-regulated, for profit water company",1
"171","CA1700542","COBB AREA CWD - BRANDING IRON","LAKE",90,"28","Local Government",1
"172","CA1700544","COBB AREA CWD - BONANZA SPRINGS","LAKE",594,"180","Local Government",2
"173","CA1700546","CLEAR WATER MUTUAL WATER COMPANY","LAKE",252,"90","Privately owned Mutual Water Company or Association",2
"174","CA1700561","BLUE LAKES IMPROVEMENT CLUB","LAKE",80,"43","Privately owned Mutual Water Company or Association",1
"175","CA1700568","HARBOR VIEW MUTUAL WATER COMPANY","LAKE",550,"246","Privately owned Mutual Water Company or Association",2
"176","CA1700579","VILLA BLUE ESTATES WATER DISTRICT","LAKE",60,"21","Privately owned Mutual Water Company or Association",1
"177","CA1700580","TWIN CREEKS MOBILE AND RV VILLAGE","LAKE",50,"17","Privately owned, non-PUC-regulated (Community Water System)",1
"178","CA1700581","CACHE CREEK MOBILE HOME PARK","LAKE",150,"45","Privately owned, non-PUC-regulated (Community Water System)",2
"179","CA1700592","KONOCTI SHORES","LAKE",99,"99","Privately owned, non-PUC-regulated (Community Water System)",1
"180","CA1700595","CAL 20 VILLAGE AND MEADOW POINTE PARK","LAKE",150,"92","Privately owned, non-PUC-regulated (Community Water System)",2
"181","CA1700596","BLUE LAKES VILLAGE","LAKE",65,"44","Privately owned, PUC-regulated, for profit water company",1
"182","CA1700702","INNISFREE WATER COMPANY","LAKE",56,"17","Privately owned, non-PUC-regulated (Community Water System)",1
"183","CA1710001","CLEARLAKE OAKS COUNTY WATER DISTRICT","LAKE",2359,"1961","Local Government",3
"184","CA1710006","KONOCTI COUNTY WATER DISTRICT","LAKE",4425,"1796","Local Government",3
"185","CA1710007","KELSEYVILLE CO WATERWORKS DISTRICT 3","LAKE",2793,"1161","Local Government",3
"186","CA1710008","NICE MUTUAL WATER COMPANY","LAKE",2731,"1064","Privately owned Mutual Water Company or Association",3
"187","CA1710010","LOWER LAKE COUNTY WATER DISTRICT","LAKE",1902,"776","Local Government",3
"188","CA1710012","COBB AREA COUNTY WATER DISTRICT","LAKE",2013,"622","Local Government",3
"189","CA1710014","MT. KONOCTI MUTUAL WATER COMPANY","LAKE",4360,"1572","Privately owned Mutual Water Company or Association",3
"190","CA1710015","HIDDEN VALLEY LAKE CSD","LAKE",8207,"2487","Local Government",3
"191","CA1710021","LAKE COUNTY CSA 21 - NORTH LAKEPORT","LAKE",2759,"1196","Local Government",3
"192","CA1710022","LAKE COUNTY CSA 20 - SODA BAY","LAKE",1792,"647","Local Government",3
"193","CA2300502","ALBION MUTUAL WATER COMPANY","MENDOCINO",40,"27","Privately owned Mutual Water Company or Association",1
"194","CA2300514","ELK COUNTY WATER DISTRICT","MENDOCINO",380,"101","Local Government",2
"195","CA2300545","SHORELANDS ROAD & WATER COMPANY","MENDOCINO",85,"47","Privately owned Mutual Water Company or Association",1
"196","CA2300591","PINE MOUNTAIN MUTUAL WATER CO.","MENDOCINO",310,"124","Privately owned Mutual Water Company or Association",2
"197","CA2300596","BIG RIVER VISTA MUTUAL WATER COMPANY","MENDOCINO",36,"19","Privately owned, non-PUC-regulated (Community Water System)",1
"198","CA2300604","POINT OF VIEW MUTUAL WATER CO","MENDOCINO",56,"29","Privately owned Mutual Water Company or Association",1
"199","CA2300610","CASPAR SOUTH SERVICE COMPANY","MENDOCINO",188,"93","Privately owned, non-PUC-regulated (Community Water System)",2
"200","CA2300634","OCEAN'S EDGE ESTATES","MENDOCINO",250,"71","Privately owned, non-PUC-regulated (Community Water System)",2
"201","CA2300644","WOODSIDE RV PARK","MENDOCINO",280,"58","Privately owned, non-PUC-regulated (Community Water System)",2
"202","CA2300646","BELLA SHORES MOBILE HOME PARK","MENDOCINO",80,"60","Privately owned, non-PUC-regulated (Community Water System)",1
"203","CA2300667","WOODS, THE (MENDOCINO)","MENDOCINO",153,"115","Privately owned, non-PUC-regulated (Community Water System)",2
"204","CA2300717","CREEKSIDE CABINS & RV RESORT","MENDOCINO",124,"55","Privately owned, non-PUC-regulated (Community Water System)",2
"205","CA2300735","HOLLY RANCH VILLAGE","MENDOCINO",50,"19","Privately owned, non-PUC-regulated (Community Water System)",1
"206","CA2300832","HILLS RANCH MUTUAL WATER COMPANY","MENDOCINO",77,"50","Privately owned, non-PUC-regulated (Community Water System)",1
"207","CA2310001","FORT BRAGG, CITY OF","MENDOCINO",7250,"2944","Local Government",3
"208","CA2310002","ROGINA WATER COMPANY INC.","MENDOCINO",3700,"1008","Privately owned, PUC-regulated, for profit water company",3
"209","CA2310004","WILLITS, CITY OF","MENDOCINO",6175,"2404","Local Government",3
"210","CA2310006","MILLVIEW COUNTY WATER DISTRICT","MENDOCINO",5500,"1534","Local Government",3
"211","CA2310009","BROOKTRAILS TOWNSHIP CSD","MENDOCINO",3800,"1554","Local Government",3
"212","CA2310011","LAYTONVILLE COUNTY WATER DISTRICT","MENDOCINO",1320,"413","Local Government",3
"213","CA2810001","HOWELL MOUNTAIN MUTUAL WATER COMPANY","NAPA",2070,"380","Privately owned Mutual Water Company or Association",3
"214","CA2810004","ST. HELENA, CITY OF","NAPA",6196,"2580","Local Government",3
"215","CA0103040","NORRIS CANYON PROPERTY OWNERS ASSN","ALAMEDA",50,"19","Privately owned Mutual Water Company or Association",1
"216","CA0103041","TRAILER HAVEN MOBILE HOME PARK","ALAMEDA",459,"191","Privately owned, non-PUC-regulated (Community Water System)",2
"217","CA0110001","ALAMEDA COUNTY WATER DISTRICT","ALAMEDA",351000,"84730","Local Government",5
"218","CA0110005","EAST BAY MUD","ALAMEDA",1437000,"388777","Local Government",6
"219","CA0110012","TOWN OF SUNOL-SFPUC","ALAMEDA",352,"124","Local Government",2
"220","CA0710002","GOLDEN STATE WATER COMPANY - BAY POINT","CONTRA COSTA",22295,"5030","Privately owned, PUC-regulated, for profit water company",4
"221","CA0710009","TOWN OF DISCOVERY BAY","CONTRA COSTA",16790,"6157","Local Government",4
"222","CA0710010","RANDALL-BOLD WATER TREATMENT PLANT","CONTRA COSTA",1,"3","Local Government",0
"223","CA0710011","CCWD/BRENTWOOD WTP","CONTRA COSTA",1,"1","Local Government",0
"224","CA3810702","TREASURE ISLAND","SAN FRANCISCO",2400,"267","Local Government",3
"225","CA4800564","HIDDEN ACRES TRAILER VILLA","SOLANO",80,"52","Privately owned, non-PUC-regulated (Community Water System)",1
"226","CA4810001","CITY OF BENICIA","SOLANO",28000,"9814","Local Government",4
"227","CA4810007","CITY OF VALLEJO","SOLANO",118470,"36558","Local Government",5
"228","CA4810008","CITY OF VACAVILLE","SOLANO",96735,"28218","Local Government",4
"229","CA4810009","CITY OF DIXON","SOLANO",9037,"2782","Local Government",3
"230","CA4810010","SID - GIBSON CANYON","SOLANO",452,"137","Local Government",2
"231","CA4810011","SID - ELMIRA","SOLANO",314,"87","Local Government",2
"232","CA4810013","RURAL NORTH VACAVILLE WATER DISTRICT","SOLANO",1130,"398","Local Government",3
"233","CA4810021","CITY OF VALLEJO-LAKES SYSTEM","SOLANO",2800,"846","Local Government",3
"234","CA4810025","SID - PLEASANT HILLS RANCH","SOLANO",73,"22","Local Government",1
"235","CA2700511","NORMCO WC","MONTEREY",928,"272","Local Government",2
"236","CA2700773","SUNNY MESA WATER SYSTEM","MONTEREY",880,"263","Local Government",2
"237","CA2701202","CAL AM WATER COMPANY - CHUALAR","MONTEREY",740,"195","Privately owned, PUC-regulated, for profit water company",2
"238","CA2702521","SANTA LUCIA PRESERVE WS","MONTEREY",2184,"164","Local Government",3
"239","CA2702588","CANADA WOODS WC","MONTEREY",551,"167","Privately owned, PUC-regulated, for profit water company",2
"240","CA2710004","CAL AM WATER COMPANY - MONTEREY","MONTEREY",95032,"37428","Privately owned, PUC-regulated, for profit water company",4
"241","CA2710006","CAL AM WATER COMPANY - AMBLER PARK","MONTEREY",1114,"402","Privately owned, PUC-regulated, for profit water company",3
"242","CA2710007","GONZALES, CITY OF","MONTEREY",8383,"1930","Local Government",3
"243","CA2710008","GREENFIELD, CITY OF","MONTEREY",17517,"3720","Local Government",4
"244","CA2710010","CWSC SALINAS","MONTEREY",106858,"23312","Privately owned, PUC-regulated, for profit water company",5
"245","CA2710013","CWSC LAS LOMAS","MONTEREY",3387,"618","Privately owned, PUC-regulated, for profit water company",3
"246","CA2710016","LITTLE BEAR WATER COMPANY","MONTEREY",2327,"705","Privately owned, PUC-regulated, for profit water company",3
"247","CA2710018","SEASIDE MUNICIPAL WATER SYSTEM","MONTEREY",2800,"786","Local Government",3
"248","CA2710019","CWSC OAK HILLS","MONTEREY",3986,"885","Privately owned, PUC-regulated, for profit water company",3
"249","CA3500006","CSA NO. 31 STONEGATE WS","SAN BENITO",252,"77","Local Government",2
"250","CA3500509","TRES PINOS CWD","SAN BENITO",350,"113","Privately owned Mutual Water Company or Association",2
"251","CA3500510","MCMAHON ROAD MUTUAL WATER COMPANY","SAN BENITO",102,"32","Privately owned Mutual Water Company or Association",2
"252","CA3500511","CASA DE FRUTA ORCHARDS","SAN BENITO",53,"20","Privately owned, non-PUC-regulated (Community Water System)",1
"253","CA3500549","ROSA MORADA MUTUAL WATER COMPANY","SAN BENITO",110,"21","Privately owned Mutual Water Company or Association",2
"254","CA3500575","SPRINGWOOD ESTATES MWC","SAN BENITO",50,"15","Privately owned Mutual Water Company or Association",1
"255","CA3500578","LOS MADRONES MWC","SAN BENITO",36,"14","Privately owned Mutual Water Company or Association",1
"256","CA3500581","RANCHO SAN JOAQUIN MWC","SAN BENITO",96,"30","Privately owned, PUC-regulated, for profit water company",1
"257","CA3500810","WHISPERING PINES INN","SAN BENITO",38,"2","Privately owned, non-PUC-regulated (Community Water System)",1
