"","pwsid","PI_INFRASTRUCT_LEAKAGE_INDEX","REPORTING_YEAR","WATER_SUPPLIER_NAME","SUPPLIER_NAME"
"84","CA0071001",1.781782629,2017,"Antioch  City Of","City of Antioch"
"85","CA1910146",0.148488978,2016,"Santa Monica  City Of","City of Santa Monica"
"86","CAcharacter(0)",2.363969654,2016,"Pasadena  City Of","City of Pasadena, Water and Power Department"
"87","CA3610029",0.50526229,2017,"Monte Vista Water District","Monte Vista Water District"
"88","CAcharacter(0)",1.253342593,2016,"Upland  City Of","City of Upland"
"89","CAcharacter(0)",5.093218168,2016,"Exeter  City Of","City of Exeter"
"90","CA4910017",0.799521889,2017,"Windsor  Town Of","Town of Windsor / Windsor Water District"
"91","CA4410017",0.743958862,2016,"Soquel Creek Water District","Soquel Creek Water District"
"92","CA1910007",5.60619771,2016,"Azusa Light & Water","Azusa Light & Water"
"93","CA3010030",1.262642258,2016,"San Juan Capistrano  City Of","City of San Juan Capistrano"
"94","CAcharacter(0)",1.397188239,2016,"Elk Grove Water District","Elk Grove Water District"
"95","CAcharacter(0)",3.488471984,2017,"San Clemente  City Of","City of San Clemente"
"96","CA1910234",1.194926466,2016,"Walnut Valley Water District","Walnut Valley Water District"
"97","CAcharacter(0)",2.755371559,2016,"Yuba City","Yuba City Water Department"
"98","CA1910140",1.122182006,2016,"Rubio Canyon Land And Water Association","Rubio Canon Land and Water Association"
"99","CAcharacter(0)",1.524403231,2016,"Riverside  City Of","Riverside Public Utilities"
"100","CA3610034",1.066362982,2016,"Ontario  City Of","City of Ontario"
"101","CA1020",1.300689958,2017,"Lathrop  City Of","City of Lathrop"
"102","CA3710002",1.086750643,2016,"Vallecitos Water District","Vallecitos Water District"
"103","CA0110008",4.483840234,2016,"Pleasanton  City Of","City of Pleasanton"
"104","CAcharacter(0)",2.672872816,2016,"Orange  City Of","City of Orange"
"105","CAcharacter(0)",1.102907858,2016,"Golden State Water Company - Southwest","Golden State Water Company - Southwest"
"106","CAcharacter(0)",4.389879216,2016,"Humboldt Community Services District","Humboldt Community Services District"
"107","CA3710029",0.998953181,2016,"Olivenhain Municipal Water District","Olivenhain Municipal Water District"
"108","CA1910043",0.800959856,2016,"Glendale  City Of","Glendale Water & Power"
"109","CA5810003",4.341011332,2016,"Olivehurst Public Utilities District","Olivehurst Public Utility District"
"110","CA1910154",1.81947701,2016,"South Pasadena  City Of","City of South Pasadena"
"111","CA7038",2.627855831,2016,"Tracy  City Of","City of Tracy"
"112","CA3610012",2.290474142,2016,"Chino  City Of","City of Chino"
"113","CAcharacter(0)",0.931162805,2017,"Lakeside Water District","Lakeside Water District"
"114","CAcharacter(0)",4.197208447,2017,"Santa Fe Irrigation District","Santa Fe Irrigation District"
"115","CAcharacter(0)",0.0852,2016,"Inglewood  City Of","City of Inglewood"
"116","CAcharacter(0)",1.015808332,2016,"San Buenaventura  City Of (Ventura)","City of San Buenaventura - Ventura Water"
"117","CA0910013",1.039222984,2016,"Georgetown Divide Public Utility District","Georgetown Divide Public Utility District"
"118","CA1910063",0.925854222,2016,"Lincoln Avenue Water Company","Lincoln Avenue Water Company"
"119","CA3010038",0.548969684,2017,"Santa Ana  City Of","City of Santa Ana"
"120","CA4110017",-0.760067359,2016,"Menlo Park  City Of","City of Menlo Park / Menlo Park Municipal Water"
"121","CA1910019",1.026424275,2016,"Cerritos  City Of","CITY OF CERRITOS"
"122","CAcharacter(0)",1.005116789,2016,"El Toro Water District","El Toro Water District"
"123","CAcharacter(0)",2.263690319,2016,"Huntington Park  City Of","City of Huntington Park"
"124","CA3310038",1.352165033,2016,"Rancho California Water District","Rancho California Water District"
"125","CAcharacter(0)",2.143934274,2016,"Golden State Water Company - Artesia","Golden State Water Company - Artesia"
"126","CAcharacter(0)",0.565893625,2016,"Golden State Water Company - Bell-Bell Gardens","Golden State Water Company - Bell-Bell Gardens"
"127","CAcharacter(0)",1.024773055,2016,"Golden State Water Company - Culver City","Golden State Water Company - Culver City"
"128","CAcharacter(0)",1.897342023,2016,"Golden State Water Company - Florence Graham","Golden State Water Company - Florence Graham"
"129","CAcharacter(0)",1.006923649,2016,"Golden State Water Company - Norwalk","Golden State Water Company - Norwalk"
"130","CAcharacter(0)",1.035233059,2016,"Santa Cruz  City Of","City of Santa Cruz Water Department"
"131","CAcharacter(0)",0.42746487,2016,"Valencia Water Company","Valencia Water Company"
"132","CA0391004",1.58195447,2017,"Lodi  City Of","City of Lodi"
"133","CAcharacter(0)",1.186158831,2016,"Del Oro Water Company","DEL ORO WATER COMPANY"
"134","CA1910040",7.508763477,2016,"El Segundo  City Of","City of El Segundo"
"135","CA41",3.670807283,2016,"Sacramento County Water Agency","Sacramento County Water Agency"
"136","CA1910125",0.831823278,2016,"Pico Water District","Pico Water District"
"137","CAc(""3010042"", ""3010055"")",0.445915463,2016,"South Coast Water District","South Coast Water District"
"138","CA1910096",1.418376507,2017,"Newhall County Water District","Newhall County Water District"
"139","CAcharacter(0)",2.317173332,2017,"Castaic Lake Water Agency Santa Clarita Water Division","Santa Clarita Water Division"
"140","CA3310032",-0.505555107,2016,"San Jacinto  City Of","City of San Jacinto"
"141","CAc(""3010035"", ""3010070"")",1.006294247,2016,"Golden State Water Company - Placentia","Golden State Water Company - Placentia/Yorba Linda Systems"
"142","CA3010022",1.238950243,2016,"Golden State Water Company - West Orange","Golden State Water Company"
"143","CAcharacter(0)",0.88467884,2016,"Valley County Water District","Valley County Water District"
"144","CAcharacter(0)",4.539453653,2016,"Sonoma County Water Agency","Sonoma County Water Agency"
"145","CAcharacter(0)",10.71775502,2016,"Folsom  City Of","City of Folsom"
"146","CA3010069",1.123405571,2016,"Fountain Valley  City Of","Fountain Valley"
"147","CA3410006",0.990957869,2016,"Citrus Heights Water District","Citrus Heights Water District"
"148","CAcharacter(0)",1.293825619,2016,"Golden State Water Company - Claremont","Golden State Water Company - Claremont"
"149","CAcharacter(0)",0.868778923,2016,"Golden State Water Company - San Dimas","Golden State Water Company San Dimas"
"150","CAc(""1910161"", ""1910211"", ""1910021"")",0.390332269,2016,"Liberty Utilities (Park Water) Corp","Liberty Utilities (Park Water)"
"151","CA3610052",2.624416403,2016,"Victorville Water District","City of Victorville/Victorville Water District"
"152","CAcharacter(0)",1.489974623,2017,"North Marin Water District","North Marin Water District"
"153","CAcharacter(0)",2.838503875,2016,"Golden State Water Company - South San Gabriel","Golden State Water So. San Gabriel"
"154","CAcharacter(0)",1.449828466,2017,"San Francisco Public Utilities Commision","San Francisco Public Utilities Commission"
"155","CA4110003",1.427132645,2016,"Burlingame  City Of","City of Burlingame"
"156","CAcharacter(0)",1.945218229,2016,"Los Angeles County Waterworks District 29 - Malibu & Marina Del Rey","Los Angeles County Waterworks District No. 29"
"157","CAcharacter(0)",-0.481917011,2017,"San Dieguito Water District","San Dieguito Water District"
"158","CAcharacter(0)",1.582783698,2016,"Los Angeles County Waterworks District 40 - Antelope Valley","Los Angeles County Waterworks District No. 40"
"159","CAcharacter(0)",1.03113044,2017,"Irvine Ranch Water District","Irvine Ranch Water District"
"160","CA1910194",0.440661826,2016,"Rowland Water District","Rowland Water District"
"161","CA4510014",-2.042493069,2016,"Bella Vista Water District","Bella Vista Water District"
"162","CA4310005",2.351120195,2016,"Milpitas  City Of","City of Milpitas"
"163","CAcharacter(0)",1.955813869,2016,"Garden Grove  City Of","City of Garden Grove"
"164","CAcharacter(0)",2.159419874,2016,"Yorba Linda Water District","Yorba Linda Water District"
"165","CA1910126",1.585753781,2016,"Pomona  City Of","City of Pomona"
"166","CA772",2.13078413,2017,"Galt  City Of","City of Galt"
"167","CA3410031",-0.254697937,2016,"California American Water Company - Sacramento District","California American Water-Sacramento District-Lincoln Oaks"
"168","CA3410017",-3.588486862,2016,"California American Water Company - Sacramento District","California American Water-Sacramento District-Parkway"
"169","CA0810001",2.858681248,2016,"Crescent City","Crescent City"
"170","CA0710004",2.178859069,2016,"Brentwood  City Of","City of Brentwood"
"171","CA1210016",1.195503502,2016,"McKinleyville Community Services District","Mckinleyville Community Services District"
"172","CA1510022",8.807683658,2016,"West Kern Water District","West Kern Water District"
"173","CAcharacter(0)",1.298445917,2016,"Carlsbad Municipal Water District","Carlsbad Municipal Water District"
"174","CA4410013",1.024134705,2016,"Scotts Valley Water District","Scotts Valley Water District"
"175","CA3010101",0.962581437,2017,"Santa Margarita Water District","Santa Margarita Water District"
"176","CA4110024",1.921320106,2017,"East Palo Alto  City Of","East Palo Alto Water System - American Water Enterprises"
"177","CA4910014",2.44151168,2016,"Rohnert Park  City Of","City of Rohnert Park"
"178","CAcharacter(0)",1.261690587,2016,"Newport Beach  City Of","City of Newport Beach"
"179","CA3110025",2.337633389,2016,"Placer County Water Agency","Placer County Water Agency - Foothill/Sunset"
"180","CA3110005",1.214284625,2016,"Placer County Water Agency","Placer County Water Agency - Auburn/Bowman"
"181","CAcharacter(0)",3.527966175,2016,"San Jose  City Of","San Jose Municipal Water System"
"182","CA5610063",1.124952127,2017,"Camrosa Water District","Camrosa Water District"
"183","CA3610057",1.028183212,2016,"Riverside Highland Water Company","Riverside Highland Water Company"
"184","CAcharacter(0)",1.618214637,2016,"Golden State Water Company - Bay Point","Bay Point / Golden State Water Company"
"185","CAcharacter(0)",0.370576864,2016,"Golden State Water Company - Cordova","Cordova / Golden State Water Company"
"186","CAcharacter(0)",2.905313538,2016,"Golden State Water Company - Orcutt","Orcutt / Golden State Water Company"
"187","CA3410004",3.060916151,2016,"Carmichael Water District","Carmichael Water District"
"188","CAcharacter(0)",0.278814984,2016,"Golden State Water Company - Simi Valley","Simi Valley / Golden State Water Company"
"189","CAcharacter(0)",0.788750582,2016,"Marin Municipal Water District","Marin Municipal Water District"
"190","CAcharacter(0)",1.437824018,2016,"Golden State Water Company - South Arcadia","Golden State Water Company So. Arcadia"
"191","CA4510006",1.161067096,2016,"Shasta Lake  City Of","City of Shasta Lake"
"192","CA3610003",0.852162562,2016,"Apple Valley Ranchos Water Company","APPLE VALLEY, CA"
"193","CAcharacter(0)",1.325372149,2016,"Eureka  City Of","City of Eureka"
"194","CAcharacter(0)",0.491310258,2016,"Ramona Municipal Water District","Ramona Municipal Water District"
"195","CA4010011",0.0233,2016,"Morro Bay  City Of","City of Morro Bay"
"196","CAcharacter(0)",2.049119586,2016,"East Valley Water District","East Valley Water District"
"197","CA4210004",1.129436532,2016,"Goleta Water District","Goleta Water District"
"198","CA3610121",3.939784594,2017,"San Bernardino County Service Area 64 Spring Valley Lake","San Bernardino County Service Area 64 Spring Valley Lake"
"199","CA3610125",1.422609703,2017,"San Bernardino County Service Area 70 J Oak Hills","San Bernardino County Service Area 70J Oak Hills"
"200","CA3710020",1.651198271,2017,"San Diego  City Of","City of San Diego - Public Utilities"
"201","CA1910067",1.611523097,2017,"Los Angeles City Department Of Water And Power","Los Angeles Department of Water and Power"
"202","CAcharacter(0)",1.153465957,2016,"Palo Alto  City Of","City of Palo Alto"
"203","CA5610011",-1.099399756,2016,"Santa Paula  City Of","City of Santa Paula"
"204","CAcharacter(0)",0.692111885,2016,"Cambria Community Service District","Cambria Community Services District"
"205","CA5010014",2.062566574,2016,"Oakdale  City Of","City of Oakdale"
"206","CA4210001",0.235841964,2017,"Carpinteria Valley Water District","Carpinteria Valley Water District"
"207","CA4110022",1.865291342,2017,"Redwood City","City of Redwood City"
"208","CA5410015",2.40090549,2017,"Tulare  City Of","Water and Wastewater Collections (City of Tulare)"
"209","CAcharacter(0)",1.893852152,2016,"Golden State Water Company - Barstow","Golden State Water Company - Barstow CSA"
"210","CA1510038",0.253157648,2016,"Bear Valley Community Services District","Bear Valley Community Services District"
"211","CA3310009",1.765639252,2017,"Eastern Municipal Water District","Eastern Municipal Water District"
"212","CA1510003",2.858493126,2016,"California Water Service Company Bakersfield","California Water Service-BK"
"213","CA1510055",4.545970177,2016,"California Water Service Company Bakersfield","California Water Service-BK NG"
"214","CA4110006",0.7983249,2016,"California Water Service Company Bear Gulch","California Water Service-BG"
"215","CA0710009",1.42723834,2016,"Discovery Bay Community Services District","Town of Discovery Bay Community Services District"
"216","CA0410002",2.043592033,2016,"California Water Service Company Chico District","California Water Service-CH"
"217","CA1910033",1.890952446,2016,"California Water Service Company Dominguez","California Water Service-DOM"
"218","CA1010007",4.242086259,2016,"Fresno  City Of","City of Fresno"
"219","CA1910134",0.548740085,2016,"California Water Service Company Hermosa/Redondo","California Water Service-HR"
"220","CA1910047",1.904560235,2016,"Hawthorne  City Of","California Water Service-HAW"
"221","CAcharacter(0)",2.616156045,2016,"Mountain House Community Services District","Mountain House Community Sevices District"
"222","CA0110003",1.361527337,2016,"California Water Service Company Livermore","California Water Service-LIV"
"223","CA5010028",1.006908719,2016,"Ceres  City Of","City of Ceres"
"224","CA4310001",1.492310836,2016,"California Water Service Company Los Altos/Suburban","California Water Service-LAS"
"225","CAcharacter(0)",1.494898491,2017,"Pittsburg  City Of","City of Pittsburg"
"226","CA3410001",2.48687184,2016,"Sacramento Suburban Water District","Sacramento Suburban Water District"
"227","CA5810001",4.584563121,2016,"California Water Service Company Marysville","California Water Service-MRL"
"228","CA4110007",0.0532,2016,"California Water Service Company Mid Peninsula","California Water Service Company_MPS SC"
"229","CA4110008",1.753528642,2016,"California Water Service Company Mid Peninsula","California Water Service Company_MPS SM"
"230","CAcharacter(0)",0.583276134,2016,"Mid-Peninsula Water District","Mid-Peninsula Water District"
"231","CA0410005",1.401992588,2016,"California Water Service Company Oroville","California Water Service-ORO"
"232","CA1910104",1.317447113,2016,"California Water Service Company Palos Verdes","California Water Service_PV"
"233","CA2710010",0.480015015,2016,"California Water Service Company Salinas District","California Water Service-SLN System"
"234","CA1010024",2.46756987,2016,"California Water Service Company Selma","California Water Service-SEL"
"235","CA4110009",0.037,2016,"California Water Service Company South San Francisco","California Water Service-SSF"
"236","CA3910001",1.766231305,2016,"California Water Service Company Stockton","California Water Service-STK"
"237","CA5410016",1.086766366,2016,"California Water Service Company Visalia","California Water Service-VIS"
"238","CA5610009",1.382020316,2016,"Port Hueneme  City Of","Port Hueneme Water Department"
"239","CA5610016",1.339732126,2016,"California Water Service Company Westlake","California Water Service-WLK"
"240","CA3310008",2.07917034,2016,"Mission Springs Water District","Mission Springs Water District"
"241","CAcharacter(0)",1.167217281,2016,"Rio Linda - Elverta Community Water District","Rio Linda/Elverta Community Water District"
"242","CA1910028",0.826743408,2016,"Crescenta Valley Community Water District","Crescenta Valley Water District"
"243","CAcharacter(0)",-0.290297297,2017,"Santa Barbara  City Of","City of Santa Barbara"
"244","CA3310020",1.737140183,2017,"Indio  City Of","City of Indio/Indio Water Authority"
"245","CAcharacter(0)",0.131034679,2017,"Padre Dam Municipal Water District","Padre Dam Municipal Water District"
"246","CA5410002",-0.637451122,2016,"Dinuba  City Of","City of Dinuba"
"247","CA3310021",0.916948108,2016,"Jurupa Community Service District","Jurupa Community Services District"
"248","CAcharacter(0)",-0.10931107,2016,"Huntington Beach  City Of","City of Huntington Beach"
"249","CAcharacter(0)",0.964455152,2016,"Hesperia Water District","Hesperia Water District (CA3610024)"
"250","CA4310012",2.206590808,2016,"Santa Clara  City Of","City of Santa Clara"
"251","CA3710015",1.214196625,2016,"Poway  City Of","City of Poway"
"252","CA5810002",6.727000533,2016,"Linda County Water District","Linda County Water District"
"253","CAcharacter(0)",1.077308435,2016,"Santa Rosa  City Of","City of Santa Rosa"
"254","CA0371005",1.474252607,2017,"Sweetwater Authority","Sweetwater Authority"
"255","CAcharacter(0)",2.114772932,2016,"Seal Beach  City Of","City of Seal Beach"
"256","CA0110006",0.686523278,2016,"Hayward  City Of","City of Hayward"
"257","CAcharacter(0)",1.565573092,2016,"Contra Costa Water District","Contra Costa Water District"
"258","CAcharacter(0)",3.229401775,2016,"Truckee - Donner Public Utilities District","Truckee Donner Public Utility District"
"259","CAc(""3710018"", ""1"")",1.627822751,2016,"Rincon Del Diablo Municipal Water District","Rincon del Diablo Municipal Water District"
"260","CA2710004",0.563500818,2016,"California American Water Company - Monterey District","California American Water - Monterey Main System"
"261","CA3610041",0.765015574,2016,"San Gabriel Valley Water Company   Fontana Division","San Gabriel Valley Water Company - Fontana Water Company Division"
"262","CAc(""1910039"", ""1910189"")",2.554445174,2016,"San Gabriel Valley Water Company","San Gabriel Valley Water Company - Los Angeles County Division"
"263","CA3710014",0.724705192,2016,"Oceanside  City Of","City of Oceanside"
"264","CA2410001",21.54706462,2017,"Atwater  City Of","City of Atwater"
"265","CA4810005",4.113345935,2016,"Suisun - Solano Water Authority","Suisun-Solano Water Authority"
"266","CA4810001",2.37713997,2016,"Benicia  City Of","City of Benicia"
"267","CAcharacter(0)",1.930557845,2016,"Laguna Beach County Water District","Laguna Beach County Water District"
"268","CA3710026",0.815423623,2016,"Valley Center Municipal Water District","Valley Center Municipal Water District"
"269","CA4710011",2.086572624,2016,"Yreka  City Of","City of Yreka"
"270","CA3010046",3.660482397,2016,"Tustin  City Of","City of Tustin"
"271","CA3310002",0.971962608,2016,"Beaumont - Cherry Valley Water District","Beaumont Cherry Valley Water District"
"272","CAcharacter(0)",NA,NA,"Diablo Water District",NA
"273","CA1910092",1.450199884,2016,"Monterey Park  City Of","City Of Monterey Park"
"274","CA3910005",3.248113418,2016,"Manteca  City Of","City of Manteca"
"275","CA5610023",0.427579767,2016,"Ventura County Waterworks District No 08 - Simi Valley","Ventura County Waterworks District  No. 8"
"276","CA1910213",0.307926587,2016,"Torrance  City Of","Torrance Municipal Water District"
"277","CA4310007",2.151890301,2017,"Mountain View  City Of","City of Mountain View"
"278","CA5610043",0.180475242,2017,"Triunfo Sanitation District/Oak Park Water Service","TSD/Oak Park Water Service"
"279","CA4810008",1.285755019,2016,"Vacaville  City Of","City of Vacaville"
"280","CAcharacter(0)",1.337265708,2017,"Rainbow Municipal Water District","Rainbow Municipal Water District"
"281","CA1910062",3.341950189,2017,"La Verne  City Of","City of La Verne"
"282","CA1510019",4.936933208,2016,"Shafter  City Of","City of Shafter"
"283","CA3610039",2.307291684,2016,"San Bernardino  City Of","San Bernardino Municipal Water Department"
"284","CA1910205",1.033055915,2016,"Suburban Water Systems - San Jose Hills","Suburban Water Systems"
"285","CA1910174",1.650253712,2016,"Suburban Water Systems - Whittier/La Mirada","Suburban Water Systems"
"286","CA3310005",3.749947468,2016,"Desert Water Agency","Desert Water Agency"
"287","CA1810001",4.387402209,2016,"Susanville  City Of","City of Susanville"
"288","CA4210006",2.938544087,2016,"Morgan Hill  City Of","City of Morgan Hill Water Department"
"289","CAcharacter(0)",4.662313301,2016,"California City","California City"
"290","CA3610004",3.776251859,2016,"West Valley Water District","West Valley Water District"
"291","CA2310003",1.659036982,2016,"Ukiah  City Of","City of Ukiah"
"292","CAcharacter(0)",1.1188417,2017,"Thousand Oaks  City Of","City of Thousand Oaks"
"293","CA1910130",1.189741545,2017,"Quartz Hill Water District","Quartz Hill Water District"
"294","CA1910148",4.04015128,2017,"Sierra Madre  City Of","City of Sierra Madre"
"295","CA2410009",4.276617764,2016,"Merced  City Of","City of Merced"
"296","CA3610015",0.265186481,2016,"Crestline Village Water District","Crestline Village Water District"
"297","CAcharacter(0)",1.595908043,2016,"San Gabriel County Water District","San Gabriel County Water District"
"298","CA3610036",1.069039063,2017,"Chino Hills  City Of","City of Chino Hills"
"299","CA2710008",1.133108474,2016,"Greenfield  City Of","City of Greenfield"
"300","CA0910002",3.340861485,2016,"South Tahoe Public Utility District","South Tahoe Public Utility District"
"301","CAcharacter(0)",1.639303251,2016,"Fallbrook Public Utilities District","Fallbrook Public Utility District"
"302","CA1510005",2.077448155,2017,"Delano  City Of","City of Delano"
"303","CAcharacter(0)",NA,NA,"Buena Park  City Of",NA
"304","CA4410011",0.621657396,2016,"Watsonville  City Of","City of Watsonville"
"305","CA4110016",1.580380546,2016,"Hillsborough  Town Of","Town of Hillsborough"
"306","CA5010017",5.01112707,2016,"Patterson  City Of","City of Patterson"
"307","CA1910245",1.349695319,2016,"Santa Fe Springs  City Of","City of Santa Fe Springs Water Authority"
"308","CAcharacter(0)",NA,NA,"San Diego County Water Authority",NA
"309","CA1910127",1.29619241,2016,"Covina  City Of","City of Covina"
"310","CAcharacter(0)",NA,NA,"Vista Irrigation District",NA
"311","CA30100004",1.327054901,2017,"Mesa Water District","Mesa Water District"
"312","CA3610018",1.490944138,2016,"Cucamonga Valley Water District","Cucamonga Valley Water District"
"313","CA1910090",0.901480158,2016,"Monrovia  City Of","City of Monrovia"
"314","CAcharacter(0)",NA,NA,"Roseville  City Of",NA
"315","CA2610001",0.649483472,2016,"Mammoth Community Water District","Mammoth Lakes"
