"","PWSID","PWS_Name","County","Pop","ServConn","Water System Ownership","Pop_per_conn","log10PopCat"
"38","CA1210004","EUREKA, CITY OF","HUMBOLDT",32815,9944,"Local Government",3.29997988736927,4
"39","CA1210008","GARBERVILLE SANITARY DISTRICT","HUMBOLDT",1500,442,"Local Government",3.39366515837104,3
"40","CA1210009","HUMBOLDT C.S.D.","HUMBOLDT",24885,7532,"Local Government",3.30390334572491,4
"41","CA1210010","SCOTIA CSD","HUMBOLDT",850,308,"Local Government",2.75974025974026,2
"42","CA1210011","REDWAY C.S.D.","HUMBOLDT",1500,687,"Local Government",2.18340611353712,3
"43","CA1210012","RIO DELL, CITY OF","HUMBOLDT",3174,1233,"Local Government",2.57420924574209,3
"44","CA1210013","HUMBOLDT BAY MWD","HUMBOLDT",0,206,"Local Government",0,-Inf
"45","CA1210018","TRINIDAD, CITY OF","HUMBOLDT",1000,325,"Local Government",3.07692307692308,3
"46","CA1210019","HYDESVILLE CO. W.D.","HUMBOLDT",1409,428,"Local Government",3.29205607476635,3
"47","CA1210021","JACOBY CREEK CSD","HUMBOLDT",904,329,"Privately owned, non-PUC-regulated (Community Water System)",2.74772036474164,2
"48","CA1210022","RESORT IMPROVEMENT DISTRICT #1","HUMBOLDT",1500,620,"Local Government",2.41935483870968,3
"49","CA1210024","WESTHAVEN C.S.D.","HUMBOLDT",490,226,"Local Government",2.16814159292035,2
"50","CA2500503","CALIFORNIA PINES C.S.D.","MODOC",300,168,"Local Government",1.78571428571429,2
"51","CA2500801","NEWELL COUNTY WATER DISTRICT","MODOC",300,310,"Local Government",0.967741935483871,2
"52","CA2510001","CITY OF ALTURAS","MODOC",2537,1470,"Local Government",1.72585034013605,3
"53","CA2510002","CEDARVILLE COUNTY WATER DIST.","MODOC",500,290,"Local Government",1.72413793103448,2
"54","CA4700503","CALLAHAN WATER DISTRICT","SISKIYOU",70,34,"Local Government",2.05882352941176,1
"55","CA4700523","GRENADA SANITARY DISTRICT","SISKIYOU",280,103,"Local Government",2.71844660194175,2
"56","CA4700528","SISKIYOU CO. ROLLING HILLS MWC","SISKIYOU",300,95,"Privately owned, non-PUC-regulated (Community Water System)",3.15789473684211,2
"57","CA4700542","ABRAMS LAKE MOBILE ESTATES","SISKIYOU",135,86,"Privately owned, non-PUC-regulated (Community Water System)",1.56976744186047,2
"58","CA4700549","LAKE SISKIYOU M.W.C.","SISKIYOU",240,84,"Privately owned, non-PUC-regulated (Community Water System)",2.85714285714286,2
"59","CA4700551","COPCO LAKE MWC","SISKIYOU",181,61,"Privately owned Mutual Water Company or Association",2.9672131147541,2
"60","CA4700627","JUNIPER CREEK ESTATES","SISKIYOU",130,52,"Privately owned, non-PUC-regulated (Community Water System)",2.5,2
"61","CA4700638","OAK VALLEY ACRES P.O.A.","SISKIYOU",80,27,"Privately owned, non-PUC-regulated (Community Water System)",2.96296296296296,1
"62","CA1206004","PALMER CREEK CSD","HUMBOLDT",320,131,"Local Government",2.44274809160305,2
"63","CA1210001","ARCATA, CITY OF","HUMBOLDT",19077,6134,"Local Government",3.1100423866971,4
"64","CA1210002","BLUE LAKE, CITY OF","HUMBOLDT",1252,699,"Local Government",1.79113018597997,3
"65","CA1210006","FORTUNA, CITY OF","HUMBOLDT",11649,4377,"Local Government",2.6614119259767,4
"66","CA1210007","DEL ORO WATER CO-FERNDALE","HUMBOLDT",1998,747,"Privately owned, PUC-regulated, for profit water company",2.67469879518072,3
"67","CA1210015","WILLOW CREEK C.S.D.","HUMBOLDT",1710,915,"Local Government",1.86885245901639,3
"68","CA1210016","MCKINLEYVILLE C.S.D.","HUMBOLDT",16900,5616,"Local Government",3.00925925925926,4
"69","CA1210017","MANILA COMMUNITY SERVICES DIST.","HUMBOLDT",750,357,"Local Government",2.10084033613445,2
"70","CA1210020","FIELDBROOK GLENDALE C.S.D.","HUMBOLDT",1848,551,"Local Government",3.35390199637024,3
"71","CA1210023","LOLETA C.S.D.","HUMBOLDT",750,280,"Local Government",2.67857142857143,2
"72","CA2500911","I'SOT WELL #3 & #15","MODOC",215,53,"Privately owned, non-PUC-regulated (Community Water System)",4.05660377358491,2
"73","CA4700513","HORNBROOK C.S.D.","SISKIYOU",280,147,"Local Government",1.9047619047619,2
"74","CA4700521","SISKIYOU CO.SERVICE AREA #5/CARRICK","SISKIYOU",142,58,"Local Government",2.44827586206897,2
"75","CA4700531","TENNANT C.S.D.","SISKIYOU",94,97,"Local Government",0.969072164948454,1
"76","CA4700541","CHATEAU SHASTA MOBILE HOME & RV PARK","SISKIYOU",55,63,"Privately owned, non-PUC-regulated (Community Water System)",0.873015873015873,1
"77","CA4700546","CAL ORE MOBILE ESTATES","SISKIYOU",146,52,"Privately owned, non-PUC-regulated (Community Water System)",2.80769230769231,2
"78","CA4700626","COVE MOBILE VILLA","SISKIYOU",105,46,"Privately owned, non-PUC-regulated (Community Water System)",2.28260869565217,2
"79","CA4700630","SHASTA VIEW HEIGHTS OWNERS ASSOCIATION","SISKIYOU",50,24,"Privately owned Mutual Water Company or Association",2.08333333333333,1
"80","CA4700686","SUN MOUNTAIN M.W.C.","SISKIYOU",55,31,"Privately owned Mutual Water Company or Association",1.7741935483871,1
"81","CA4700880","SISKIYOU LAKE HIGHLANDS MWC","SISKIYOU",100,78,"Privately owned Mutual Water Company or Association",1.28205128205128,2
"82","CA4710003","FORT JONES, TOWN OF","SISKIYOU",675,366,"Local Government",1.84426229508197,2
"83","CA4710006","MCCLOUD C.S.D.","SISKIYOU",1300,728,"Privately owned, non-PUC-regulated (Community Water System)",1.78571428571429,3
"84","CA4710007","MONTAGUE, CITY OF","SISKIYOU",1495,503,"Local Government",2.97216699801193,3
"85","CA4710008","MT. SHASTA, CITY OF","SISKIYOU",3642,1841,"Local Government",1.97827267789245,3
"86","CA4710009","WEED, CITY OF","SISKIYOU",2963,1110,"Local Government",2.66936936936937,3
"87","CA4710011","YREKA, CITY OF","SISKIYOU",7290,2993,"Local Government",2.4356832609422,3
"88","CA5301001","BUCKTAIL MUTUAL WATER COMPANY","TRINITY",61,42,"Privately owned Mutual Water Company or Association",1.45238095238095,1
"89","CA5301002","LEWISTON COMMUNITY SERVICES DISTRICT","TRINITY",701,219,"Local Government",3.20091324200913,2
"90","CA5301102","TRINITY KNOLLS MUTUAL WATER COMPANY","TRINITY",44,65,"Privately owned Mutual Water Company or Association",0.676923076923077,1
"91","CA5301103","COVINGTON MILL - A","TRINITY",58,42,"Privately owned Mutual Water Company or Association",1.38095238095238,1
"92","CA5301104","COVINGTON MILL MWC-DIVISION B","TRINITY",99,99,"Privately owned Mutual Water Company or Association",1,1
"93","CA5304102","TRINITY VILLAGE MUTUAL WATER","TRINITY",302,193,"Privately owned Mutual Water Company or Association",1.56476683937824,2
"94","CA5304502","SALYER HEIGHTS W.S., INC","TRINITY",135,42,"Privately owned, PUC-regulated, for profit water company",3.21428571428571,2
"95","CA5310002","TRINITY CO. W.W. DIST #1","TRINITY",1775,580,"Local Government",3.06034482758621,3
"96","CA5310003","TRINITY CENTER M.W.C.          .","TRINITY",729,252,"Privately owned, non-PUC-regulated (Community Water System)",2.89285714285714,2
"97","CA1800511","LAKE FOREST MUTUAL W.C.","LASSEN",565,220,"Privately owned Mutual Water Company or Association",2.56818181818182,2
"98","CA1800516","LITTLE VALLEY CSD","LASSEN",70,44,"Local Government",1.59090909090909,1
"99","CA1800522","HONEY LAKE CAMPGROUND","LASSEN",25,11,"Privately owned, non-PUC-regulated (Community Water System)",2.27272727272727,1
"100","CA1800523","PINEVIEW MOBILE HOME PARK","LASSEN",113,52,"Privately owned, non-PUC-regulated (Community Water System)",2.17307692307692,2
"101","CA4700803","SHADOW MOUNTAIN MHP","SISKIYOU",100,71,"Privately owned, non-PUC-regulated (Community Water System)",1.40845070422535,2
"102","CA4700872","MONTE SHASTA M.W.C.","SISKIYOU",150,45,"Privately owned Mutual Water Company or Association",3.33333333333333,2
"103","CA4710001","DORRIS, CITY OF","SISKIYOU",887,420,"Local Government",2.11190476190476,2
"104","CA4710002","DUNSMUIR, CITY OF","SISKIYOU",1923,1187,"Local Government",1.62005054759899,3
"105","CA4710004","ETNA, CITY OF","SISKIYOU",720,410,"Local Government",1.75609756097561,2
"106","CA4710010","TULELAKE, CITY OF","SISKIYOU",1000,437,"Local Government",2.2883295194508,3
"107","CA4710012","HAPPY CAMP C.S.D.","SISKIYOU",1100,453,"Local Government",2.42825607064018,3
"108","CA4710013","LAKE SHASTINA C.S.D","SISKIYOU",2400,1272,"Privately owned Mutual Water Company or Association",1.88679245283019,3
"109","CA5301008","PINE COVE RV PARK","TRINITY",223,61,"Privately owned, non-PUC-regulated (Community Water System)",3.65573770491803,2
"110","CA5301010","BUD FINE MWC","TRINITY",43,39,"Privately owned Mutual Water Company or Association",1.1025641025641,1
"111","CA5301017","RUSH CREEK MUTUAL WATER SYSTEM","TRINITY",104,37,"Privately owned Mutual Water Company or Association",2.81081081081081,2
"112","CA5301101","TREASURE CREEK WOODS MWC","TRINITY",131,32,"Privately owned Mutual Water Company or Association",4.09375,2
"113","CA5301201","SEYMOUR'S MUTUAL WATER SYSTEM","TRINITY",29,27,"Privately owned Mutual Water Company or Association",1.07407407407407,1
"114","CA5303002","INDIAN CREEK TRAILER PARK","TRINITY",36,35,"Privately owned, non-PUC-regulated (Community Water System)",1.02857142857143,1
"115","CA5304109","BURNT RANCH ESTATES","TRINITY",115,35,"Privately owned Mutual Water Company or Association",3.28571428571429,2
"116","CA5304501","SALYER MUTUAL WC (FORMERLY RIVERVIEW AC)","TRINITY",211,68,"Privately owned Mutual Water Company or Association",3.10294117647059,2
"117","CA5310001","WEAVERVILLE C.S.D.","TRINITY",3600,1636,"Local Government",2.20048899755501,3
"118","CA0910012","TAHOE CITY PUD - RUBICON","EL DORADO",703,621,"Local Government",1.13204508856683,2
"119","CA1800503","SUSAN RIVER PARK WATER CO.","LASSEN",140,50,"Privately owned, PUC-regulated, for profit water company",2.8,2
"120","CA1800512","CLEAR CREEK CSD-WESTWOOD","LASSEN",400,166,"Local Government",2.40963855421687,2
"121","CA1800534","SPAULDING EAGLE LAKE MWC","LASSEN",289,82,"Privately owned Mutual Water Company or Association",3.52439024390244,2
"122","CA1805007","HERLONG PUBLIC UTILITY DISTRICT","LASSEN",2114,297,"Local Government",7.11784511784512,3
"123","CA1810002","WESTWOOD C.S.D.","LASSEN",1662,948,"Local Government",1.75316455696203,3
"124","CA1810004","LEAVITT LAKE CSD","LASSEN",950,259,"Local Government",3.66795366795367,2
"125","CA3110001","NORTH TAHOE PUD - MAIN","PLACER",5300,3261,"Local Government",1.62526832260043,3
"126","CA3110004","CITY OF LINCOLN","PLACER",48165,18756,"Local Government",2.56797824696097,4
"127","CA3110005","PLACER CWA - AUBURN/BOWMAN","PLACER",27902,8491,"Local Government",3.28606760098928,4
"128","CA3110011","TAHOE CITY PUD - MCKINNEY/QUAIL","PLACER",844,559,"Local Government",1.50983899821109,2
"129","CA3110012","AGATE BAY WATER COMPANY","PLACER",2500,582,"Privately owned, PUC-regulated, for profit water company",4.29553264604811,3
"130","CA3110013","TAHOE CEDARS WATER COMPANY","PLACER",793,1180,"Local Government",0.672033898305085,2
"131","CA3110029","ALPINE SPRINGS COUNTY WATER DISTRICT","PLACER",200,656,"Local Government",0.304878048780488,2
"132","CA3110031","WARD WELL WATER COMPANY","PLACER",375,226,"Privately owned Mutual Water Company or Association",1.65929203539823,2
"133","CA3110033","CASTLE CITY MHP","PLACER",280,201,"Privately owned, non-PUC-regulated (Community Water System)",1.39303482587065,2
"134","CA3110034","CHRISTIAN VALLEY PARK CSD","PLACER",1800,623,"Privately owned, non-PUC-regulated (Community Water System)",2.8892455858748,3
"135","CA3110035","WEIMAR WATER COMPANY","PLACER",1500,550,"Privately owned, PUC-regulated, for profit water company",2.72727272727273,3
"136","CA3110036","NORTH TAHOE PUD - DOLLAR COVE","PLACER",800,273,"Local Government",2.93040293040293,2
"137","CA3110040","PLACER CWA - BIANCHI ESTATES","PLACER",122,38,"Local Government",3.21052631578947,2
"138","CA3110044","TAHOE CITY PUD - ALPINE PEAKS","PLACER",201,97,"Local Government",2.07216494845361,2
"139","CA3110047","TALMONT RESORT IMPROVEMENT DISTRICT","PLACER",300,341,"Local Government",0.879765395894428,2
"140","CA3110048","PLACER CSA - SHERIDAN","PLACER",726,195,"Local Government",3.72307692307692,2
"141","CA3110049","TAHOE PARK WATER CO - SKYLAND/NIELSEN","PLACER",50,92,"Privately owned, PUC-regulated, for profit water company",0.543478260869565,1
"142","CA3110124","PLACER CWA - MONTE VISTA","PLACER",56,18,"Local Government",3.11111111111111,1
"143","CA3210001","IVCSD-GREENVILLE","PLUMAS",1129,576,"Local Government",1.96006944444444,3
"144","CA3210002","PLUMAS COUNTY FLOOD CONTROL","PLUMAS",0,993,"Local Government",0,-Inf
"145","CA3210005","GRAEAGLE WATER COMPANY","PLUMAS",737,933,"Privately owned, PUC-regulated, for profit water company",0.789924973204716,2
"146","CA3210006","LAKE ALMANOR COUNTRY CLUB MWC","PLUMAS",6000,1682,"Privately owned Mutual Water Company or Association",3.56718192627824,3
"147","CA3210009","CHESTER PUBLIC U.D.","PLUMAS",2316,1251,"Privately owned, non-PUC-regulated (Community Water System)",1.85131894484412,3
"148","CA3210010","HAMILTON BRANCH CSD","PLUMAS",1624,502,"Local Government",3.23505976095618,3
"149","CA3210011","PLUMAS EUREKA CSD","PLUMAS",1525,553,"Local Government",2.75768535262206,3
"150","CA4500014","LAKESHORE HEIGHTS MUTUAL WATER","SHASTA",264,66,"Privately owned Mutual Water Company or Association",4,2
"151","CA4500015","SHASTA CSA - CASTELLA, #3","SHASTA",252,101,"Local Government",2.4950495049505,2
"152","CA4500022","DEL ORO WATER CO. - HAT CREEK DISTRICT","SHASTA",205,63,"Privately owned, PUC-regulated, for profit water company",3.25396825396825,2
"153","CA4500023","HAT CREEK HIGHLANDS MUTUAL WATER CO","SHASTA",88,44,"Privately owned Mutual Water Company or Association",2,1
"154","CA4500028","SHASTA CSA - CRAGVIEW, #23","SHASTA",218,66,"Local Government",3.3030303030303,2
"155","CA4500210","LASSEN PINES MUTUAL WATER CO INC","SHASTA",600,194,"Privately owned Mutual Water Company or Association",3.09278350515464,2
"156","CA4510001","CITY OF ANDERSON","SHASTA",11147,3339,"Local Government",3.33842467804732,4
"157","CA4510006","CITY OF SHASTA LAKE","SHASTA",10386,3752,"Local Government",2.7681236673774,4
"158","CA4510007","COTTONWOOD COUNTY WATER DIST.","SHASTA",3316,1226,"Local Government",2.7047308319739,3
"159","CA4510011","CENTERVILLE C.S.D.","SHASTA",4105,1272,"Local Government",3.22720125786164,3
"160","CA4510013","SHASTA C.S.D.","SHASTA",1584,480,"Local Government",3.3,3
"161","CA4510014","BELLA VISTA WATER DISTRICT","SHASTA",19098,6360,"Local Government",3.00283018867925,4
"162","CA4510016","CLEAR CREEK CSD-ANDERSON","SHASTA",8900,2357,"Privately owned, non-PUC-regulated (Community Water System)",3.7759864234196,3
"163","CA4600009","SIERRA CSA #5, SIERRA BROOKS","SIERRA",515,191,"Local Government",2.69633507853403,2
"164","CA4600017","R.R. LEWIS SMALL WC","SIERRA",324,123,"Privately owned, PUC-regulated, for profit water company",2.63414634146341,2
"165","CA4600018","SIERRAVILLE P.U.D.","SIERRA",200,111,"Local Government",1.8018018018018,2
"166","CA4600019","SIERRA CO. W.W.D #1 CALPINE","SIERRA",225,134,"Local Government",1.67910447761194,2
"167","CA4600056","SIERRA CITY WATER WORKS, INC.","SIERRA",250,89,"Privately owned, PUC-regulated, for profit water company",2.80898876404494,2
"168","CA4610002","DOWNIEVILLE PUBLIC U.D.","SIERRA",282,230,"Local Government",1.22608695652174,2
"169","CA1700501","ADAMS SPRINGS WATER DISTRICT","LAKE",99,77,"Local Government",1.28571428571429,1
"170","CA1700508","GLENHAVEN MUTUAL WATER COMPANY","LAKE",300,125,"Privately owned Mutual Water Company or Association",2.4,2
"171","CA1700518","LOCH LOMOND MUTUAL WATER CO","LAKE",588,210,"Privately owned, non-PUC-regulated (Community Water System)",2.8,2
"172","CA1700519","CRESCENT BAY IMPROVEMENT COMPANY","LAKE",27,24,"Privately owned Mutual Water Company or Association",1.125,1
"173","CA1700526","PINE GROVE WATER SYSTEM","LAKE",352,90,"Privately owned, non-PUC-regulated (Community Water System)",3.91111111111111,2
"174","CA1700530","COBB MOUNTAIN WATER COMPANY","LAKE",63,62,"Privately owned, PUC-regulated, for profit water company",1.01612903225806,1
"175","CA1700542","COBB AREA CWD - BRANDING IRON","LAKE",90,28,"Local Government",3.21428571428571,1
"176","CA1700544","COBB AREA CWD - BONANZA SPRINGS","LAKE",594,180,"Local Government",3.3,2
"177","CA1700546","CLEAR WATER MUTUAL WATER COMPANY","LAKE",252,90,"Privately owned Mutual Water Company or Association",2.8,2
"178","CA1700561","BLUE LAKES IMPROVEMENT CLUB","LAKE",80,43,"Privately owned Mutual Water Company or Association",1.86046511627907,1
"179","CA1700568","HARBOR VIEW MUTUAL WATER COMPANY","LAKE",550,246,"Privately owned Mutual Water Company or Association",2.23577235772358,2
"180","CA1700579","VILLA BLUE ESTATES WATER DISTRICT","LAKE",60,21,"Privately owned Mutual Water Company or Association",2.85714285714286,1
"181","CA1700580","TWIN CREEKS MOBILE AND RV VILLAGE","LAKE",50,17,"Privately owned, non-PUC-regulated (Community Water System)",2.94117647058824,1
"182","CA1700581","CACHE CREEK MOBILE HOME PARK","LAKE",150,45,"Privately owned, non-PUC-regulated (Community Water System)",3.33333333333333,2
"183","CA1700592","KONOCTI SHORES","LAKE",99,99,"Privately owned, non-PUC-regulated (Community Water System)",1,1
"184","CA1700595","CAL 20 VILLAGE AND MEADOW POINTE PARK","LAKE",150,92,"Privately owned, non-PUC-regulated (Community Water System)",1.6304347826087,2
"185","CA1700596","BLUE LAKES VILLAGE","LAKE",65,44,"Privately owned, PUC-regulated, for profit water company",1.47727272727273,1
"186","CA1700702","INNISFREE WATER COMPANY","LAKE",56,17,"Privately owned, non-PUC-regulated (Community Water System)",3.29411764705882,1
"187","CA1710001","CLEARLAKE OAKS COUNTY WATER DISTRICT","LAKE",2359,1961,"Local Government",1.20295767465579,3
"188","CA1710006","KONOCTI COUNTY WATER DISTRICT","LAKE",4425,1796,"Local Government",2.46380846325167,3
"189","CA1710007","KELSEYVILLE CO WATERWORKS DISTRICT 3","LAKE",2793,1161,"Local Government",2.40568475452196,3
"190","CA1710008","NICE MUTUAL WATER COMPANY","LAKE",2731,1064,"Privately owned Mutual Water Company or Association",2.56672932330827,3
"191","CA1710010","LOWER LAKE COUNTY WATER DISTRICT","LAKE",1902,776,"Local Government",2.45103092783505,3
"192","CA1710012","COBB AREA COUNTY WATER DISTRICT","LAKE",2013,622,"Local Government",3.23633440514469,3
"193","CA1710014","MT. KONOCTI MUTUAL WATER COMPANY","LAKE",4360,1572,"Privately owned Mutual Water Company or Association",2.7735368956743,3
"194","CA1710015","HIDDEN VALLEY LAKE CSD","LAKE",8207,2487,"Local Government",3.29995979091275,3
"195","CA1710021","LAKE COUNTY CSA 21 - NORTH LAKEPORT","LAKE",2759,1196,"Local Government",2.30685618729097,3
"196","CA1710022","LAKE COUNTY CSA 20 - SODA BAY","LAKE",1792,647,"Local Government",2.76970633693972,3
"197","CA2300502","ALBION MUTUAL WATER COMPANY","MENDOCINO",40,27,"Privately owned Mutual Water Company or Association",1.48148148148148,1
"198","CA2300514","ELK COUNTY WATER DISTRICT","MENDOCINO",380,101,"Local Government",3.76237623762376,2
"199","CA2300545","SHORELANDS ROAD & WATER COMPANY","MENDOCINO",85,47,"Privately owned Mutual Water Company or Association",1.80851063829787,1
"200","CA2300591","PINE MOUNTAIN MUTUAL WATER CO.","MENDOCINO",310,124,"Privately owned Mutual Water Company or Association",2.5,2
"201","CA2300596","BIG RIVER VISTA MUTUAL WATER COMPANY","MENDOCINO",36,19,"Privately owned, non-PUC-regulated (Community Water System)",1.89473684210526,1
"202","CA2300604","POINT OF VIEW MUTUAL WATER CO","MENDOCINO",56,29,"Privately owned Mutual Water Company or Association",1.93103448275862,1
"203","CA2300610","CASPAR SOUTH SERVICE COMPANY","MENDOCINO",188,93,"Privately owned, non-PUC-regulated (Community Water System)",2.02150537634409,2
"204","CA2300634","OCEAN'S EDGE ESTATES","MENDOCINO",250,71,"Privately owned, non-PUC-regulated (Community Water System)",3.52112676056338,2
"205","CA2300644","WOODSIDE RV PARK","MENDOCINO",280,58,"Privately owned, non-PUC-regulated (Community Water System)",4.82758620689655,2
"206","CA2300646","BELLA SHORES MOBILE HOME PARK","MENDOCINO",80,60,"Privately owned, non-PUC-regulated (Community Water System)",1.33333333333333,1
"207","CA2300667","WOODS, THE (MENDOCINO)","MENDOCINO",153,115,"Privately owned, non-PUC-regulated (Community Water System)",1.3304347826087,2
"208","CA2300717","CREEKSIDE CABINS & RV RESORT","MENDOCINO",124,55,"Privately owned, non-PUC-regulated (Community Water System)",2.25454545454545,2
"209","CA2300735","HOLLY RANCH VILLAGE","MENDOCINO",50,19,"Privately owned, non-PUC-regulated (Community Water System)",2.63157894736842,1
"210","CA2300832","HILLS RANCH MUTUAL WATER COMPANY","MENDOCINO",77,50,"Privately owned, non-PUC-regulated (Community Water System)",1.54,1
"211","CA2310001","FORT BRAGG, CITY OF","MENDOCINO",7250,2944,"Local Government",2.46263586956522,3
"212","CA2310002","ROGINA WATER COMPANY INC.","MENDOCINO",3700,1008,"Privately owned, PUC-regulated, for profit water company",3.67063492063492,3
"213","CA2310004","WILLITS, CITY OF","MENDOCINO",6175,2404,"Local Government",2.56863560732113,3
"214","CA2310006","MILLVIEW COUNTY WATER DISTRICT","MENDOCINO",5500,1534,"Local Government",3.58539765319426,3
"215","CA2310009","BROOKTRAILS TOWNSHIP CSD","MENDOCINO",3800,1554,"Local Government",2.44530244530245,3
"216","CA2310011","LAYTONVILLE COUNTY WATER DISTRICT","MENDOCINO",1320,413,"Local Government",3.19612590799031,3
"217","CA2810001","HOWELL MOUNTAIN MUTUAL WATER COMPANY","NAPA",2070,380,"Privately owned Mutual Water Company or Association",5.44736842105263,3
"218","CA2810004","ST. HELENA, CITY OF","NAPA",6196,2580,"Local Government",2.4015503875969,3
"219","CA0103040","NORRIS CANYON PROPERTY OWNERS ASSN","ALAMEDA",50,19,"Privately owned Mutual Water Company or Association",2.63157894736842,1
"220","CA0103041","TRAILER HAVEN MOBILE HOME PARK","ALAMEDA",459,191,"Privately owned, non-PUC-regulated (Community Water System)",2.40314136125654,2
"221","CA0110001","ALAMEDA COUNTY WATER DISTRICT","ALAMEDA",351000,84730,"Local Government",4.14257051811637,5
"222","CA0110005","EAST BAY MUD","ALAMEDA",1437000,388777,"Local Government",3.69620630850076,6
"223","CA0110012","TOWN OF SUNOL-SFPUC","ALAMEDA",352,124,"Local Government",2.83870967741935,2
"224","CA0110018","SFPUC-PLEASANTON WELLS","ALAMEDA",1,1,"Local Government",1,0
