utility_name,pwsid,effective_date,bill_frequency,bill_unit,usage_ccf,avg_household_size,et_amount,bill_type,service_charge,commodity_charge,bill,tier_starts,tier_0,tier_prices,median_income_category,approximate_median_income,check,bill_frequency_update,Tier_number,Tier_price,Tier_volume
Alco Water Service,CA2710001,7/27/2014,Monthly,converted to kgal,15.72177561,3.968875664,3.458281818,Tiered,21.32,39.64,61.65,0-10,0,2.3228-2.7875,"$45,000 to $49,999",47500,0,Monthly,5,NA,NA
Alco Water Service,CA2710001,7/27/2014,Monthly,converted to kgal,15.72177561,3.968875664,3.458281818,Tiered,21.32,39.64,61.65,0-10,0,2.3228-2.7875,"$45,000 to $49,999",47500,0,Monthly,6,NA,NA
Alco Water Service,CA2710001,7/27/2014,Monthly,converted to kgal,15.72177561,3.968875664,3.458281818,Tiered,21.32,39.64,61.65,0-10,0,2.3228-2.7875,"$45,000 to $49,999",47500,0,Monthly,7,NA,NA
Alco Water Service,CA2710001,7/27/2014,Monthly,converted to kgal,15.72177561,3.968875664,3.458281818,Tiered,21.32,39.64,61.65,0-10,0,2.3228-2.7875,"$45,000 to $49,999",47500,0,Monthly,8,NA,NA
Alhambra  City Of,CA1910001,7/1/2013,Bi-Monthly,converted to kgal,10,2.644198099,9.275830476,Tiered,11.67,13.6,19.435,0-13-21,0,2.72-2.88-2.96,"$50,000 to $59,999",55000,0,Monthly,1,2.03470144,4.862338
Alhambra  City Of,CA1910001,7/1/2013,Bi-Monthly,converted to kgal,10,2.644198099,9.275830476,Tiered,11.67,13.6,19.435,0-13-21,0,2.72-2.88-2.96,"$50,000 to $59,999",55000,0,Monthly,2,2.15438976,7.854546
Alhambra  City Of,CA1910001,7/1/2013,Bi-Monthly,converted to kgal,10,2.644198099,9.275830476,Tiered,11.67,13.6,19.435,0-13-21,0,2.72-2.88-2.96,"$50,000 to $59,999",55000,0,Monthly,3,2.21423392,NA
Alhambra  City Of,CA1910001,7/1/2013,Bi-Monthly,converted to kgal,10,2.644198099,9.275830476,Tiered,11.67,13.6,19.435,0-13-21,0,2.72-2.88-2.96,"$50,000 to $59,999",55000,0,Monthly,4,NA,NA
Alhambra  City Of,CA1910001,7/1/2013,Bi-Monthly,converted to kgal,10,2.644198099,9.275830476,Tiered,11.67,13.6,19.435,0-13-21,0,2.72-2.88-2.96,"$50,000 to $59,999",55000,0,Monthly,5,NA,NA
Alhambra  City Of,CA1910001,7/1/2013,Bi-Monthly,converted to kgal,10,2.644198099,9.275830476,Tiered,11.67,13.6,19.435,0-13-21,0,2.72-2.88-2.96,"$50,000 to $59,999",55000,0,Monthly,6,NA,NA
Alhambra  City Of,CA1910001,7/1/2013,Bi-Monthly,converted to kgal,10,2.644198099,9.275830476,Tiered,11.67,13.6,19.435,0-13-21,0,2.72-2.88-2.96,"$50,000 to $59,999",55000,0,Monthly,7,NA,NA
Alhambra  City Of,CA1910001,7/1/2013,Bi-Monthly,converted to kgal,10,2.644198099,9.275830476,Tiered,11.67,13.6,19.435,0-13-21,0,2.72-2.88-2.96,"$50,000 to $59,999",55000,0,Monthly,8,NA,NA
Amador Water Agency,CA0310002,10/1/2017,Monthly,converted to kgal,8.459899765,3,4.435170864,Uniform,25.08,20.64,45.72,NA,NA,2.44,NA,NA,1,Monthly,1,1.82524688,NA
Amador Water Agency,CA0310002,10/1/2017,Monthly,converted to kgal,8.459899765,3,4.435170864,Uniform,25.08,20.64,45.72,NA,NA,2.44,NA,NA,1,Monthly,2,NA,NA
Amador Water Agency,CA0310002,10/1/2017,Monthly,converted to kgal,8.459899765,3,4.435170864,Uniform,25.08,20.64,45.72,NA,NA,2.44,NA,NA,1,Monthly,3,NA,NA
Amador Water Agency,CA0310002,10/1/2017,Monthly,converted to kgal,8.459899765,3,4.435170864,Uniform,25.08,20.64,45.72,NA,NA,2.44,NA,NA,1,Monthly,4,NA,NA
Amador Water Agency,CA0310002,10/1/2017,Monthly,converted to kgal,8.459899765,3,4.435170864,Uniform,25.08,20.64,45.72,NA,NA,2.44,NA,NA,1,Monthly,5,NA,NA
Amador Water Agency,CA0310002,10/1/2017,Monthly,converted to kgal,8.459899765,3,4.435170864,Uniform,25.08,20.64,45.72,NA,NA,2.44,NA,NA,1,Monthly,6,NA,NA
Amador Water Agency,CA0310002,10/1/2017,Monthly,converted to kgal,8.459899765,3,4.435170864,Uniform,25.08,20.64,45.72,NA,NA,2.44,NA,NA,1,Monthly,7,NA,NA
Amador Water Agency,CA0310002,10/1/2017,Monthly,converted to kgal,8.459899765,3,4.435170864,Uniform,25.08,20.64,45.72,NA,NA,2.44,NA,NA,1,Monthly,8,NA,NA
American Canyon  City Of,CA2810005,6/1/2017,Monthly,converted to kgal,9.055098138,3.250124234,3.750683636,Tiered,6.4,49.23,55.63,0-9-21,0,5.33-6.25-6.54,"$75,000 to $99,999",87500,0,Monthly,1,3.98711716,6.732468
American Canyon  City Of,CA2810005,6/1/2017,Monthly,converted to kgal,9.055098138,3.250124234,3.750683636,Tiered,6.4,49.23,55.63,0-9-21,0,5.33-6.25-6.54,"$75,000 to $99,999",87500,0,Monthly,2,4.675325,15.709092
American Canyon  City Of,CA2810005,6/1/2017,Monthly,converted to kgal,9.055098138,3.250124234,3.750683636,Tiered,6.4,49.23,55.63,0-9-21,0,5.33-6.25-6.54,"$75,000 to $99,999",87500,0,Monthly,3,4.89226008,NA
American Canyon  City Of,CA2810005,6/1/2017,Monthly,converted to kgal,9.055098138,3.250124234,3.750683636,Tiered,6.4,49.23,55.63,0-9-21,0,5.33-6.25-6.54,"$75,000 to $99,999",87500,0,Monthly,4,NA,NA
American Canyon  City Of,CA2810005,6/1/2017,Monthly,converted to kgal,9.055098138,3.250124234,3.750683636,Tiered,6.4,49.23,55.63,0-9-21,0,5.33-6.25-6.54,"$75,000 to $99,999",87500,0,Monthly,5,NA,NA
American Canyon  City Of,CA2810005,6/1/2017,Monthly,converted to kgal,9.055098138,3.250124234,3.750683636,Tiered,6.4,49.23,55.63,0-9-21,0,5.33-6.25-6.54,"$75,000 to $99,999",87500,0,Monthly,6,NA,NA
American Canyon  City Of,CA2810005,6/1/2017,Monthly,converted to kgal,9.055098138,3.250124234,3.750683636,Tiered,6.4,49.23,55.63,0-9-21,0,5.33-6.25-6.54,"$75,000 to $99,999",87500,0,Monthly,7,NA,NA
American Canyon  City Of,CA2810005,6/1/2017,Monthly,converted to kgal,9.055098138,3.250124234,3.750683636,Tiered,6.4,49.23,55.63,0-9-21,0,5.33-6.25-6.54,"$75,000 to $99,999",87500,0,Monthly,8,NA,NA
Anaheim City of,CA3010001,2/1/2016,Monthly,converted to kgal,10.37906337,3.146147985,4.437575909,Uniform,12.97,5.19,18.16,NA,NA,0.5,"$60,000 to $74,999",67500,0,Monthly,1,0.374026,NA
Anaheim City of,CA3010001,2/1/2016,Monthly,converted to kgal,10.37906337,3.146147985,4.437575909,Uniform,12.97,5.19,18.16,NA,NA,0.5,"$60,000 to $74,999",67500,0,Monthly,2,NA,NA
Anaheim City of,CA3010001,2/1/2016,Monthly,converted to kgal,10.37906337,3.146147985,4.437575909,Uniform,12.97,5.19,18.16,NA,NA,0.5,"$60,000 to $74,999",67500,0,Monthly,3,NA,NA
Anaheim City of,CA3010001,2/1/2016,Monthly,converted to kgal,10.37906337,3.146147985,4.437575909,Uniform,12.97,5.19,18.16,NA,NA,0.5,"$60,000 to $74,999",67500,0,Monthly,4,NA,NA
Anaheim City of,CA3010001,2/1/2016,Monthly,converted to kgal,10.37906337,3.146147985,4.437575909,Uniform,12.97,5.19,18.16,NA,NA,0.5,"$60,000 to $74,999",67500,0,Monthly,5,NA,NA
Anaheim City of,CA3010001,2/1/2016,Monthly,converted to kgal,10.37906337,3.146147985,4.437575909,Uniform,12.97,5.19,18.16,NA,NA,0.5,"$60,000 to $74,999",67500,0,Monthly,6,NA,NA
Anaheim City of,CA3010001,2/1/2016,Monthly,converted to kgal,10.37906337,3.146147985,4.437575909,Uniform,12.97,5.19,18.16,NA,NA,0.5,"$60,000 to $74,999",67500,0,Monthly,7,NA,NA
Anaheim City of,CA3010001,2/1/2016,Monthly,converted to kgal,10.37906337,3.146147985,4.437575909,Uniform,12.97,5.19,18.16,NA,NA,0.5,"$60,000 to $74,999",67500,0,Monthly,8,NA,NA
Anderson  City Of,CA4510001,12/1/2015,Monthly,converted to kgal,12.8718367,2.363004172,4.758705135,Uniform,12.3,0.15,12.45,NA,NA,0.01192,"$35,000 to $39,999",37500,0,Monthly,1,0.00891678,NA
Anderson  City Of,CA4510001,12/1/2015,Monthly,converted to kgal,12.8718367,2.363004172,4.758705135,Uniform,12.3,0.15,12.45,NA,NA,0.01192,"$35,000 to $39,999",37500,0,Monthly,2,NA,NA
Anderson  City Of,CA4510001,12/1/2015,Monthly,converted to kgal,12.8718367,2.363004172,4.758705135,Uniform,12.3,0.15,12.45,NA,NA,0.01192,"$35,000 to $39,999",37500,0,Monthly,3,NA,NA
Anderson  City Of,CA4510001,12/1/2015,Monthly,converted to kgal,12.8718367,2.363004172,4.758705135,Uniform,12.3,0.15,12.45,NA,NA,0.01192,"$35,000 to $39,999",37500,0,Monthly,4,NA,NA
Anderson  City Of,CA4510001,12/1/2015,Monthly,converted to kgal,12.8718367,2.363004172,4.758705135,Uniform,12.3,0.15,12.45,NA,NA,0.01192,"$35,000 to $39,999",37500,0,Monthly,5,NA,NA
Anderson  City Of,CA4510001,12/1/2015,Monthly,converted to kgal,12.8718367,2.363004172,4.758705135,Uniform,12.3,0.15,12.45,NA,NA,0.01192,"$35,000 to $39,999",37500,0,Monthly,6,NA,NA
Anderson  City Of,CA4510001,12/1/2015,Monthly,converted to kgal,12.8718367,2.363004172,4.758705135,Uniform,12.3,0.15,12.45,NA,NA,0.01192,"$35,000 to $39,999",37500,0,Monthly,7,NA,NA
Anderson  City Of,CA4510001,12/1/2015,Monthly,converted to kgal,12.8718367,2.363004172,4.758705135,Uniform,12.3,0.15,12.45,NA,NA,0.01192,"$35,000 to $39,999",37500,0,Monthly,8,NA,NA
Antioch  City Of,CA0710001,7/1/2017,Monthly,converted to kgal,10.25759157,2.994168826,4.557301886,Tiered,21.2,32.52,53.72,0-12,0,3.17-5.24,"$60,000 to $74,999",67500,1,Monthly,1,2.37132484,8.976624
Antioch  City Of,CA0710001,7/1/2017,Monthly,converted to kgal,10.25759157,2.994168826,4.557301886,Tiered,21.2,32.52,53.72,0-12,0,3.17-5.24,"$60,000 to $74,999",67500,1,Monthly,2,3.91979248,NA
Antioch  City Of,CA0710001,7/1/2017,Monthly,converted to kgal,10.25759157,2.994168826,4.557301886,Tiered,21.2,32.52,53.72,0-12,0,3.17-5.24,"$60,000 to $74,999",67500,1,Monthly,3,NA,NA
Antioch  City Of,CA0710001,7/1/2017,Monthly,converted to kgal,10.25759157,2.994168826,4.557301886,Tiered,21.2,32.52,53.72,0-12,0,3.17-5.24,"$60,000 to $74,999",67500,1,Monthly,4,NA,NA
Antioch  City Of,CA0710001,7/1/2017,Monthly,converted to kgal,10.25759157,2.994168826,4.557301886,Tiered,21.2,32.52,53.72,0-12,0,3.17-5.24,"$60,000 to $74,999",67500,1,Monthly,5,NA,NA
Antioch  City Of,CA0710001,7/1/2017,Monthly,converted to kgal,10.25759157,2.994168826,4.557301886,Tiered,21.2,32.52,53.72,0-12,0,3.17-5.24,"$60,000 to $74,999",67500,1,Monthly,6,NA,NA
Antioch  City Of,CA0710001,7/1/2017,Monthly,converted to kgal,10.25759157,2.994168826,4.557301886,Tiered,21.2,32.52,53.72,0-12,0,3.17-5.24,"$60,000 to $74,999",67500,1,Monthly,7,NA,NA
Antioch  City Of,CA0710001,7/1/2017,Monthly,converted to kgal,10.25759157,2.994168826,4.557301886,Tiered,21.2,32.52,53.72,0-12,0,3.17-5.24,"$60,000 to $74,999",67500,1,Monthly,8,NA,NA
Apple Valley Ranchos Water Company,CA3600010,1/1/2017,monthly,converted to kgal,15,3,4,Tiered,34.73,63.14,97.87,0-12-24,0,4.039-4.677-5.315,NA,NA,1,Monthly,1,3.021382028,8.976624
Apple Valley Ranchos Water Company,CA3600010,1/1/2017,monthly,converted to kgal,15,3,4,Tiered,34.73,63.14,97.87,0-12-24,0,4.039-4.677-5.315,NA,NA,1,Monthly,2,3.498639204,17.953248
Apple Valley Ranchos Water Company,CA3600010,1/1/2017,monthly,converted to kgal,15,3,4,Tiered,34.73,63.14,97.87,0-12-24,0,4.039-4.677-5.315,NA,NA,1,Monthly,3,3.97589638,NA
Apple Valley Ranchos Water Company,CA3600010,1/1/2017,monthly,converted to kgal,15,3,4,Tiered,34.73,63.14,97.87,0-12-24,0,4.039-4.677-5.315,NA,NA,1,Monthly,4,NA,NA
Apple Valley Ranchos Water Company,CA3600010,1/1/2017,monthly,converted to kgal,15,3,4,Tiered,34.73,63.14,97.87,0-12-24,0,4.039-4.677-5.315,NA,NA,1,Monthly,5,NA,NA
Apple Valley Ranchos Water Company,CA3600010,1/1/2017,monthly,converted to kgal,15,3,4,Tiered,34.73,63.14,97.87,0-12-24,0,4.039-4.677-5.315,NA,NA,1,Monthly,6,NA,NA
Apple Valley Ranchos Water Company,CA3600010,1/1/2017,monthly,converted to kgal,15,3,4,Tiered,34.73,63.14,97.87,0-12-24,0,4.039-4.677-5.315,NA,NA,1,Monthly,7,NA,NA
Apple Valley Ranchos Water Company,CA3600010,1/1/2017,monthly,converted to kgal,15,3,4,Tiered,34.73,63.14,97.87,0-12-24,0,4.039-4.677-5.315,NA,NA,1,Monthly,8,NA,NA
Arcadia  City Of,CA1910003,4/1/2017,Bimonthly,converted to kgal,19,2.797013482,9.148334091,Tiered,10.17,16.26,21.345,0-23-49-67,0,1.54-1.88-2.13-2.29,"$75,000 to $99,999",87500,0,Monthly,1,1.15200008,8.602598
Arcadia  City Of,CA1910003,4/1/2017,Bimonthly,converted to kgal,19,2.797013482,9.148334091,Tiered,10.17,16.26,21.345,0-23-49-67,0,1.54-1.88-2.13-2.29,"$75,000 to $99,999",87500,0,Monthly,2,1.40633776,18.327274
Arcadia  City Of,CA1910003,4/1/2017,Bimonthly,converted to kgal,19,2.797013482,9.148334091,Tiered,10.17,16.26,21.345,0-23-49-67,0,1.54-1.88-2.13-2.29,"$75,000 to $99,999",87500,0,Monthly,3,1.59335076,25.059742
Arcadia  City Of,CA1910003,4/1/2017,Bimonthly,converted to kgal,19,2.797013482,9.148334091,Tiered,10.17,16.26,21.345,0-23-49-67,0,1.54-1.88-2.13-2.29,"$75,000 to $99,999",87500,0,Monthly,4,1.71303908,NA
Arcadia  City Of,CA1910003,4/1/2017,Bimonthly,converted to kgal,19,2.797013482,9.148334091,Tiered,10.17,16.26,21.345,0-23-49-67,0,1.54-1.88-2.13-2.29,"$75,000 to $99,999",87500,0,Monthly,5,NA,NA
Arcadia  City Of,CA1910003,4/1/2017,Bimonthly,converted to kgal,19,2.797013482,9.148334091,Tiered,10.17,16.26,21.345,0-23-49-67,0,1.54-1.88-2.13-2.29,"$75,000 to $99,999",87500,0,Monthly,6,NA,NA
Arcadia  City Of,CA1910003,4/1/2017,Bimonthly,converted to kgal,19,2.797013482,9.148334091,Tiered,10.17,16.26,21.345,0-23-49-67,0,1.54-1.88-2.13-2.29,"$75,000 to $99,999",87500,0,Monthly,7,NA,NA
Arcadia  City Of,CA1910003,4/1/2017,Bimonthly,converted to kgal,19,2.797013482,9.148334091,Tiered,10.17,16.26,21.345,0-23-49-67,0,1.54-1.88-2.13-2.29,"$75,000 to $99,999",87500,0,Monthly,8,NA,NA
Arcata  City Of,CA1210001,10/1/2017,Monthly,converted to kgal,4.185248098,2.165005794,4.225633886,Tiered,12.16,14.09,26.25,0-3-5,0,3.1-3.34-6.54,"$35,000 to $39,999",37500,1,Monthly,1,2.3189612,2.244156
Arcata  City Of,CA1210001,10/1/2017,Monthly,converted to kgal,4.185248098,2.165005794,4.225633886,Tiered,12.16,14.09,26.25,0-3-5,0,3.1-3.34-6.54,"$35,000 to $39,999",37500,1,Monthly,2,2.49849368,3.74026
Arcata  City Of,CA1210001,10/1/2017,Monthly,converted to kgal,4.185248098,2.165005794,4.225633886,Tiered,12.16,14.09,26.25,0-3-5,0,3.1-3.34-6.54,"$35,000 to $39,999",37500,1,Monthly,3,4.89226008,NA
Arcata  City Of,CA1210001,10/1/2017,Monthly,converted to kgal,4.185248098,2.165005794,4.225633886,Tiered,12.16,14.09,26.25,0-3-5,0,3.1-3.34-6.54,"$35,000 to $39,999",37500,1,Monthly,4,NA,NA
Arcata  City Of,CA1210001,10/1/2017,Monthly,converted to kgal,4.185248098,2.165005794,4.225633886,Tiered,12.16,14.09,26.25,0-3-5,0,3.1-3.34-6.54,"$35,000 to $39,999",37500,1,Monthly,5,NA,NA
Arcata  City Of,CA1210001,10/1/2017,Monthly,converted to kgal,4.185248098,2.165005794,4.225633886,Tiered,12.16,14.09,26.25,0-3-5,0,3.1-3.34-6.54,"$35,000 to $39,999",37500,1,Monthly,6,NA,NA
Arcata  City Of,CA1210001,10/1/2017,Monthly,converted to kgal,4.185248098,2.165005794,4.225633886,Tiered,12.16,14.09,26.25,0-3-5,0,3.1-3.34-6.54,"$35,000 to $39,999",37500,1,Monthly,7,NA,NA
Arcata  City Of,CA1210001,10/1/2017,Monthly,converted to kgal,4.185248098,2.165005794,4.225633886,Tiered,12.16,14.09,26.25,0-3-5,0,3.1-3.34-6.54,"$35,000 to $39,999",37500,1,Monthly,8,NA,NA
Arrowbear Park County Water District,CA3610110,12/19/2016,Monthly,converted to kgal,15,3,4,Tiered,27.5,58.5,86,0-7,0,0-6.5,NA,NA,1,Monthly,1,0,5.236364
Arrowbear Park County Water District,CA3610110,12/19/2016,Monthly,converted to kgal,15,3,4,Tiered,27.5,58.5,86,0-7,0,0-6.5,NA,NA,1,Monthly,2,4.862338,NA
Arrowbear Park County Water District,CA3610110,12/19/2016,Monthly,converted to kgal,15,3,4,Tiered,27.5,58.5,86,0-7,0,0-6.5,NA,NA,1,Monthly,3,NA,NA
Arrowbear Park County Water District,CA3610110,12/19/2016,Monthly,converted to kgal,15,3,4,Tiered,27.5,58.5,86,0-7,0,0-6.5,NA,NA,1,Monthly,4,NA,NA
Arrowbear Park County Water District,CA3610110,12/19/2016,Monthly,converted to kgal,15,3,4,Tiered,27.5,58.5,86,0-7,0,0-6.5,NA,NA,1,Monthly,5,NA,NA
Arrowbear Park County Water District,CA3610110,12/19/2016,Monthly,converted to kgal,15,3,4,Tiered,27.5,58.5,86,0-7,0,0-6.5,NA,NA,1,Monthly,6,NA,NA
Arrowbear Park County Water District,CA3610110,12/19/2016,Monthly,converted to kgal,15,3,4,Tiered,27.5,58.5,86,0-7,0,0-6.5,NA,NA,1,Monthly,7,NA,NA
Arrowbear Park County Water District,CA3610110,12/19/2016,Monthly,converted to kgal,15,3,4,Tiered,27.5,58.5,86,0-7,0,0-6.5,NA,NA,1,Monthly,8,NA,NA
Arroyo Grande  City Of,CA4010001,8/9/2017,Monthly,converted to kgal,9.01522176,2.414777938,4.013371364,Tiered,34.34,36.6,70.94,0-18-36,0,4.06-4.47-5.96,"$60,000 to $74,999",67500,1,Monthly,1,3.03709112,13.464936
Arroyo Grande  City Of,CA4010001,8/9/2017,Monthly,converted to kgal,9.01522176,2.414777938,4.013371364,Tiered,34.34,36.6,70.94,0-18-36,0,4.06-4.47-5.96,"$60,000 to $74,999",67500,1,Monthly,2,3.34379244,26.929872
Arroyo Grande  City Of,CA4010001,8/9/2017,Monthly,converted to kgal,9.01522176,2.414777938,4.013371364,Tiered,34.34,36.6,70.94,0-18-36,0,4.06-4.47-5.96,"$60,000 to $74,999",67500,1,Monthly,3,4.45838992,NA
Arroyo Grande  City Of,CA4010001,8/9/2017,Monthly,converted to kgal,9.01522176,2.414777938,4.013371364,Tiered,34.34,36.6,70.94,0-18-36,0,4.06-4.47-5.96,"$60,000 to $74,999",67500,1,Monthly,4,NA,NA
Arroyo Grande  City Of,CA4010001,8/9/2017,Monthly,converted to kgal,9.01522176,2.414777938,4.013371364,Tiered,34.34,36.6,70.94,0-18-36,0,4.06-4.47-5.96,"$60,000 to $74,999",67500,1,Monthly,5,NA,NA
Arroyo Grande  City Of,CA4010001,8/9/2017,Monthly,converted to kgal,9.01522176,2.414777938,4.013371364,Tiered,34.34,36.6,70.94,0-18-36,0,4.06-4.47-5.96,"$60,000 to $74,999",67500,1,Monthly,6,NA,NA
Arroyo Grande  City Of,CA4010001,8/9/2017,Monthly,converted to kgal,9.01522176,2.414777938,4.013371364,Tiered,34.34,36.6,70.94,0-18-36,0,4.06-4.47-5.96,"$60,000 to $74,999",67500,1,Monthly,7,NA,NA
Arroyo Grande  City Of,CA4010001,8/9/2017,Monthly,converted to kgal,9.01522176,2.414777938,4.013371364,Tiered,34.34,36.6,70.94,0-18-36,0,4.06-4.47-5.96,"$60,000 to $74,999",67500,1,Monthly,8,NA,NA
Arvin Community Services District,CA1510001,1/1/2018,Monthly,converted to kgal,12.62732702,4.04505814,5.150605909,Uniform,26.51,19.32,45.83,NA,NA,1.53,"$35,000 to $39,999",37500,1,Monthly,1,1.14451956,NA
Arvin Community Services District,CA1510001,1/1/2018,Monthly,converted to kgal,12.62732702,4.04505814,5.150605909,Uniform,26.51,19.32,45.83,NA,NA,1.53,"$35,000 to $39,999",37500,1,Monthly,2,NA,NA
Arvin Community Services District,CA1510001,1/1/2018,Monthly,converted to kgal,12.62732702,4.04505814,5.150605909,Uniform,26.51,19.32,45.83,NA,NA,1.53,"$35,000 to $39,999",37500,1,Monthly,3,NA,NA
Arvin Community Services District,CA1510001,1/1/2018,Monthly,converted to kgal,12.62732702,4.04505814,5.150605909,Uniform,26.51,19.32,45.83,NA,NA,1.53,"$35,000 to $39,999",37500,1,Monthly,4,NA,NA
Arvin Community Services District,CA1510001,1/1/2018,Monthly,converted to kgal,12.62732702,4.04505814,5.150605909,Uniform,26.51,19.32,45.83,NA,NA,1.53,"$35,000 to $39,999",37500,1,Monthly,5,NA,NA
Arvin Community Services District,CA1510001,1/1/2018,Monthly,converted to kgal,12.62732702,4.04505814,5.150605909,Uniform,26.51,19.32,45.83,NA,NA,1.53,"$35,000 to $39,999",37500,1,Monthly,6,NA,NA
Arvin Community Services District,CA1510001,1/1/2018,Monthly,converted to kgal,12.62732702,4.04505814,5.150605909,Uniform,26.51,19.32,45.83,NA,NA,1.53,"$35,000 to $39,999",37500,1,Monthly,7,NA,NA
Arvin Community Services District,CA1510001,1/1/2018,Monthly,converted to kgal,12.62732702,4.04505814,5.150605909,Uniform,26.51,19.32,45.83,NA,NA,1.53,"$35,000 to $39,999",37500,1,Monthly,8,NA,NA
Atascadero Mutual Water Company,CA4010002,5/1/2016,Monthly,converted to kgal,10,2.566654721,4.165278837,Tiered,20,16.39,38.89,0-1-10-25-50-75,0,0-2.1-3.25-4.8-5.5-7,"$60,000 to $74,999",67500,0,Monthly,1,0,1
Atascadero Mutual Water Company,CA4010002,5/1/2016,Monthly,converted to kgal,10,2.566654721,4.165278837,Tiered,20,16.39,38.89,0-1-10-25-50-75,0,0-2.1-3.25-4.8-5.5-7,"$60,000 to $74,999",67500,0,Monthly,2,2.1,10
Atascadero Mutual Water Company,CA4010002,5/1/2016,Monthly,converted to kgal,10,2.566654721,4.165278837,Tiered,20,16.39,38.89,0-1-10-25-50-75,0,0-2.1-3.25-4.8-5.5-7,"$60,000 to $74,999",67500,0,Monthly,3,3.25,25
Atascadero Mutual Water Company,CA4010002,5/1/2016,Monthly,converted to kgal,10,2.566654721,4.165278837,Tiered,20,16.39,38.89,0-1-10-25-50-75,0,0-2.1-3.25-4.8-5.5-7,"$60,000 to $74,999",67500,0,Monthly,4,4.8,50
Atascadero Mutual Water Company,CA4010002,5/1/2016,Monthly,converted to kgal,10,2.566654721,4.165278837,Tiered,20,16.39,38.89,0-1-10-25-50-75,0,0-2.1-3.25-4.8-5.5-7,"$60,000 to $74,999",67500,0,Monthly,5,5.5,75
Atascadero Mutual Water Company,CA4010002,5/1/2016,Monthly,converted to kgal,10,2.566654721,4.165278837,Tiered,20,16.39,38.89,0-1-10-25-50-75,0,0-2.1-3.25-4.8-5.5-7,"$60,000 to $74,999",67500,0,Monthly,6,7,NA
Atascadero Mutual Water Company,CA4010002,5/1/2016,Monthly,converted to kgal,10,2.566654721,4.165278837,Tiered,20,16.39,38.89,0-1-10-25-50-75,0,0-2.1-3.25-4.8-5.5-7,"$60,000 to $74,999",67500,0,Monthly,7,NA,NA
Atascadero Mutual Water Company,CA4010002,5/1/2016,Monthly,converted to kgal,10,2.566654721,4.165278837,Tiered,20,16.39,38.89,0-1-10-25-50-75,0,0-2.1-3.25-4.8-5.5-7,"$60,000 to $74,999",67500,0,Monthly,8,NA,NA
